Annotation Cluster 1	Enrichment Score: 11.312634702462313
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005615~extracellular space	116	9.385113268608414	1.093849135267008E-15	1475, 338, 2147, 8530, 1192, 10797, 685, 3083, 6349, 8743, 6347, 8744, 283, 335, 948, 3538, 6351, 10135, 414062, 7066, 1280, 6781, 1281, 9547, 9350, 344, 3552, 1514, 5552, 1908, 56920, 3493, 6696, 2660, 2022, 221223, 871, 4504, 4224, 6280, 3315, 6282, 12, 8646, 43847, 4585, 7422, 6374, 3514, 1440, 5806, 11341, 8858, 9560, 6279, 83888, 1116, 653509, 5054, 3329, 1056, 83729, 1839, 7057, 2919, 4353, 3440, 3383, 7123, 434, 1667, 54145, 249, 6398, 2191, 3576, 5328, 7130, 7038, 22943, 53632, 63036, 3447, 51129, 72, 3500, 100532736, 352999, 133, 58, 5104, 5008, 3601, 55258, 3507, 8614, 1950, 80328, 7276, 3553, 4057, 3557, 344901, 652, 2921, 650, 10551, 3162, 4060, 29923, 85480, 3569, 1358, 1359, 563, 4069	717	1347	18224	2.1888446767909264	4.640732242933154E-13	4.640732242933154E-13	1.5543122344752192E-12
GOTERM_CC_DIRECT	GO:0005576~extracellular region	128	10.355987055016183	1.1327193554639707E-14	338, 2147, 685, 3083, 6349, 54106, 8743, 6347, 336, 283, 335, 3538, 5542, 100463486, 6490, 6351, 388533, 414062, 7066, 255631, 54210, 4922, 1280, 10808, 1281, 126961, 9547, 9350, 344, 3552, 4885, 5552, 1514, 1908, 3493, 3491, 6696, 26281, 6280, 256710, 6283, 12, 7422, 6374, 3514, 388419, 1440, 283971, 5806, 8858, 84519, 9560, 6279, 64499, 84624, 653509, 5054, 5341, 712, 22915, 1056, 83729, 1839, 79630, 7057, 4148, 4854, 100534612, 225689, 2919, 3440, 3624, 7123, 245911, 259307, 245912, 1667, 8361, 4860, 8366, 3576, 5328, 338645, 3039, 124857, 7038, 123, 22943, 2264, 7133, 10437, 3447, 2256, 51129, 55908, 3040, 8353, 8352, 3043, 8358, 333932, 3500, 133, 5104, 5008, 8614, 1950, 3909, 497190, 169044, 7276, 4327, 3553, 440348, 4057, 401027, 652, 2921, 650, 4060, 2350, 9332, 5858, 3569, 1358, 1359, 563, 4069	717	1610	18224	2.020731654495526	4.7335468877918174E-12	2.3667734438959087E-12	1.5898393712632242E-11
UP_KEYWORDS	Disulfide bond	215	17.39482200647249	1.484122623530974E-13	338, 1192, 941, 942, 3083, 6349, 390442, 6347, 336, 8128, 948, 6490, 6351, 2207, 7066, 6781, 134391, 146547, 5743, 933, 4885, 391192, 4887, 391190, 56920, 3493, 59350, 3491, 2849, 5651, 2215, 203328, 1815, 2212, 4224, 441509, 8302, 3949, 728, 623, 6374, 1440, 624, 8858, 65078, 2833, 23627, 10886, 64499, 55879, 10071, 712, 22915, 1056, 26716, 83729, 1839, 64699, 7057, 4148, 3112, 4854, 4353, 3822, 79748, 3383, 3624, 259307, 433, 434, 7852, 6398, 5329, 5328, 124857, 2570, 9308, 2264, 63036, 4973, 10437, 7980, 51129, 3500, 100532736, 10268, 133, 968, 2357, 5008, 3601, 3507, 8614, 80328, 2697, 4327, 340205, 4057, 4324, 2348, 93650, 4481, 124599, 55243, 4486, 10551, 4060, 2350, 9332, 563, 4069, 2147, 64805, 8530, 685, 684, 25960, 283, 3538, 6966, 1524, 6967, 3678, 414062, 680, 54210, 1280, 1281, 346517, 3136, 285242, 9547, 9350, 8685, 5552, 1514, 1908, 5029, 9152, 2660, 221223, 6010, 286133, 6578, 54538, 133584, 2765, 6282, 43847, 4585, 7422, 3514, 11136, 283971, 5806, 9429, 646960, 148113, 9560, 83888, 1116, 653509, 9173, 2812, 2919, 3440, 7123, 55089, 245911, 245912, 1667, 56670, 3579, 249, 3577, 2191, 3576, 5794, 7130, 7038, 22943, 7133, 51330, 56169, 57124, 7305, 25878, 3447, 29881, 26245, 54437, 390261, 1230, 1950, 3909, 497190, 8797, 8793, 135948, 26246, 3557, 250, 344805, 84665, 652, 2921, 650, 55576, 355, 85480, 5858, 120425, 1358, 3569, 1359	800	3434	20581	1.6106999854397204	6.486688963747156E-11	6.486688963747156E-11	2.0971002712144582E-10
UP_KEYWORDS	Secreted	143	11.56957928802589	1.5496429425200526E-13	338, 2147, 8530, 685, 3083, 6349, 6347, 336, 283, 335, 5542, 100463486, 6490, 6351, 388533, 10135, 414062, 7066, 255631, 54210, 4922, 1280, 6781, 1281, 146547, 9547, 9350, 3552, 344, 4885, 5552, 1908, 56920, 3491, 6696, 2215, 2660, 221223, 26281, 133584, 6280, 256710, 6283, 12, 8646, 43847, 4585, 7422, 6374, 3514, 388419, 1440, 283971, 5806, 11341, 8858, 10882, 148113, 84519, 6279, 9560, 64499, 84624, 83888, 653509, 1116, 5054, 712, 22915, 9173, 1056, 83729, 1839, 79630, 4148, 100534612, 2919, 3440, 3624, 7123, 245911, 245912, 434, 1667, 5329, 6398, 2191, 5328, 3576, 338645, 56955, 124857, 7038, 22943, 2264, 7133, 63036, 10437, 4973, 7980, 25878, 3447, 51129, 55908, 3500, 100532736, 352999, 133, 60495, 5104, 5008, 3601, 55258, 3507, 8614, 3909, 80328, 497190, 169044, 7276, 4327, 3553, 440348, 4057, 3557, 2348, 344901, 401027, 652, 2921, 650, 10551, 355, 4060, 2350, 85480, 29923, 9332, 5858, 3569, 1358, 563, 4069	800	1965	20581	1.872190203562341	6.77293776618626E-11	3.38646888309313E-11	2.1895818491657337E-10
UP_SEQ_FEATURE	disulfide bond	189	15.291262135922329	1.99244363105625E-13	338, 2147, 8530, 64805, 1192, 941, 942, 685, 3083, 6349, 390442, 6347, 336, 283, 8128, 948, 3538, 6351, 1524, 6967, 3678, 2207, 414062, 680, 7066, 54210, 6781, 1281, 346517, 134391, 3136, 146547, 5743, 285242, 9547, 933, 9350, 8685, 391192, 4885, 4887, 391190, 5552, 1514, 1908, 56920, 3493, 5029, 3491, 59350, 2849, 5651, 2215, 2660, 203328, 221223, 1815, 2212, 6010, 286133, 4224, 54538, 133584, 441509, 2765, 6282, 43847, 3949, 728, 4585, 7422, 623, 6374, 3514, 1440, 283971, 624, 5806, 8858, 9429, 2833, 65078, 23627, 148113, 10886, 9560, 64499, 83888, 653509, 1116, 55879, 10071, 712, 22915, 9173, 1056, 26716, 83729, 1839, 64699, 7057, 4148, 3112, 4854, 2919, 4353, 3822, 3440, 3383, 3624, 7123, 433, 245911, 259307, 434, 1667, 56670, 7852, 3579, 3577, 5329, 2191, 6398, 5328, 3576, 7130, 124857, 7038, 2570, 9308, 22943, 2264, 7133, 63036, 51330, 4973, 10437, 57124, 7980, 25878, 3447, 51129, 26245, 3500, 54437, 10268, 133, 968, 2357, 390261, 5008, 1230, 3601, 3507, 1950, 3909, 80328, 2697, 497190, 8797, 8793, 4327, 340205, 135948, 4057, 26246, 3557, 4324, 93650, 250, 493913, 344805, 84665, 4481, 124599, 652, 2921, 650, 55243, 55576, 355, 4060, 9332, 120425, 3569, 1358, 1359, 563, 4069	776	2917	20063	1.6751724692435739	3.933886549845056E-10	3.933886549845056E-10	3.42115225038242E-10
UP_SEQ_FEATURE	signal peptide	205	16.585760517799354	2.9999935880610955E-12	338, 941, 942, 3083, 6349, 23516, 54106, 6347, 336, 335, 6490, 6351, 388533, 2207, 7066, 389118, 6781, 133396, 5746, 8875, 146547, 5743, 933, 344, 4885, 56920, 3491, 2215, 2022, 2212, 4224, 441509, 12, 3949, 6374, 388419, 1440, 11341, 8858, 65078, 23627, 10882, 221188, 64499, 55879, 3938, 10071, 712, 22915, 1056, 83729, 1839, 79630, 7057, 4148, 3112, 4854, 164284, 4353, 79748, 845, 3383, 3624, 2897, 259307, 434, 91181, 6398, 5329, 5328, 124857, 2570, 9308, 2264, 63036, 257062, 10437, 7980, 51129, 55908, 3500, 10268, 133, 968, 5104, 5008, 3601, 3507, 8614, 80328, 10630, 7276, 259236, 4327, 4057, 340205, 4324, 2348, 93650, 124599, 55243, 4486, 10551, 51148, 4060, 2350, 9332, 563, 4069, 2147, 8530, 685, 283652, 25960, 283, 5542, 3678, 414062, 255631, 54210, 4922, 339168, 1280, 1281, 3136, 285242, 9547, 9350, 5033, 5552, 1514, 1908, 246777, 6696, 2660, 221223, 871, 116159, 222487, 54538, 133584, 2765, 256710, 8646, 43847, 4585, 7422, 3514, 283971, 387914, 5806, 148113, 84519, 9560, 84624, 83888, 653509, 1116, 5054, 9173, 2812, 2919, 3440, 7123, 245911, 1667, 249, 3576, 338645, 5794, 7130, 56955, 7038, 22943, 3309, 7133, 51330, 57124, 7305, 25878, 3447, 29881, 352999, 1950, 3909, 497190, 8797, 8793, 169044, 3557, 250, 493913, 344901, 401027, 652, 2921, 650, 55576, 355, 85480, 5858, 120425, 1358, 3569, 1359	776	3346	20063	1.5840251631429434	5.9220881531985015E-9	2.9610440765992507E-9	5.1501580777824074E-9
UP_KEYWORDS	Glycoprotein	251	20.307443365695793	5.544577013964307E-10	1410, 338, 941, 160365, 942, 3083, 390442, 54106, 23516, 6347, 336, 8128, 83401, 335, 948, 6490, 2012, 7066, 389118, 6615, 6781, 133396, 134391, 5746, 8875, 146547, 5743, 933, 344, 4885, 391192, 4887, 391190, 56920, 3493, 59350, 5651, 2215, 203328, 2022, 1815, 2212, 4609, 138255, 4224, 441509, 23630, 12, 3949, 728, 623, 388419, 1440, 624, 11341, 8858, 2833, 65078, 23627, 221188, 5244, 10886, 64499, 55879, 2827, 144195, 10071, 22915, 712, 1056, 7225, 26716, 83729, 1839, 64699, 7057, 3112, 4854, 164284, 4353, 3822, 79748, 845, 3383, 3624, 2897, 4071, 433, 259307, 434, 91181, 7852, 5329, 6398, 5328, 124857, 2570, 9308, 2264, 257062, 4973, 10437, 7980, 51129, 3500, 10268, 968, 2357, 60495, 5104, 963, 5008, 3601, 3507, 8614, 80328, 10630, 7276, 4327, 440348, 92745, 8342, 4057, 4324, 93650, 2348, 4481, 55243, 4486, 51148, 4060, 2350, 9332, 563, 2147, 64805, 8530, 6559, 685, 684, 25960, 54714, 5542, 83483, 6967, 3678, 126969, 680, 6563, 255631, 116337, 54210, 1280, 1281, 346517, 3136, 285242, 9350, 5033, 3552, 8685, 1514, 5552, 9152, 5029, 6696, 246777, 2660, 221223, 871, 222487, 6010, 286133, 6578, 54538, 133584, 132884, 2765, 8646, 4585, 7422, 9023, 283971, 5806, 9429, 646960, 148113, 3018, 84624, 1116, 653509, 5054, 9173, 2812, 3440, 343450, 7123, 55089, 56670, 127707, 135924, 3579, 249, 3577, 2191, 56475, 5794, 338645, 7130, 56955, 3039, 7038, 22943, 7133, 10103, 57124, 25878, 10100, 3040, 29881, 3043, 80131, 26245, 54437, 352999, 390261, 1230, 1950, 3909, 497190, 8797, 8793, 169044, 6542, 135948, 26246, 3557, 250, 200010, 344805, 652, 650, 6331, 5468, 55576, 3161, 355, 85480, 5858, 120425, 3569	800	4551	20581	1.4188725005493297	2.422979864524777E-7	4.845960199784116E-8	7.833122150913141E-7
UP_SEQ_FEATURE	glycosylation site:N-linked (GlcNAc...)	225	18.203883495145632	1.0220272271588878E-7	338, 160365, 941, 942, 3083, 390442, 54106, 23516, 6347, 8128, 948, 6490, 2012, 7066, 389118, 6781, 133396, 134391, 5746, 8875, 146547, 5743, 933, 4885, 391192, 4887, 391190, 56920, 3493, 59350, 5651, 2215, 203328, 1815, 2022, 2212, 138255, 4224, 441509, 23630, 12, 3949, 728, 623, 388419, 624, 11341, 8858, 2833, 65078, 23627, 221188, 5244, 10886, 64499, 55879, 2827, 144195, 10071, 22915, 712, 7225, 26716, 83729, 64699, 7057, 3112, 4854, 164284, 4353, 3822, 79748, 845, 3383, 3624, 2897, 4071, 259307, 433, 434, 91181, 7852, 6398, 5329, 5328, 124857, 2570, 9308, 2264, 257062, 4973, 10437, 7980, 51129, 3500, 10268, 968, 2357, 5104, 963, 5008, 3601, 3507, 8614, 80328, 7276, 4327, 92745, 4057, 4324, 93650, 2348, 4481, 55243, 4486, 51148, 2350, 9332, 563, 2147, 64805, 8530, 6559, 685, 684, 25960, 54714, 5542, 83483, 6967, 3678, 126969, 680, 6563, 255631, 116337, 54210, 1280, 346517, 3136, 285242, 9350, 5033, 3552, 8685, 1514, 9152, 5029, 6696, 246777, 2660, 221223, 871, 222487, 6010, 286133, 6578, 54538, 133584, 132884, 8646, 4585, 7422, 9023, 283971, 5806, 9429, 148113, 84624, 1116, 653509, 5054, 9173, 727832, 2812, 343450, 55089, 56670, 127707, 135924, 3579, 249, 3577, 2191, 56475, 5794, 338645, 7130, 56955, 7038, 22943, 7133, 10103, 25878, 10100, 29881, 80131, 26245, 54437, 352999, 390261, 1230, 1950, 3909, 497190, 8797, 8793, 169044, 6542, 135948, 26246, 3557, 493913, 250, 200010, 652, 650, 6331, 55576, 3161, 355, 85480, 5858, 120425, 3569	776	4234	20063	1.3739338272891517	2.0172783518068726E-4	4.034882295977926E-5	1.7545063464297073E-4
UP_KEYWORDS	Signal	222	17.96116504854369	1.5909965739698657E-7	338, 941, 942, 3083, 6349, 54106, 23516, 6347, 336, 8128, 335, 6490, 6351, 388533, 2207, 7066, 389118, 6781, 133396, 5746, 8875, 146547, 5743, 933, 344, 4885, 56920, 59350, 3491, 2215, 2022, 2212, 4224, 441509, 12, 3949, 6374, 388419, 1440, 11341, 100861519, 8858, 65078, 23627, 10882, 221188, 64499, 55879, 3938, 10071, 22915, 712, 1056, 83729, 1839, 79630, 7057, 4148, 3112, 4854, 164284, 4353, 79748, 845, 3383, 3624, 2897, 259307, 434, 91181, 6398, 5329, 126306, 5328, 124857, 2570, 9308, 2264, 63036, 257062, 10437, 7980, 51129, 55908, 10268, 100532736, 133, 968, 60495, 5104, 5008, 3601, 8614, 80328, 10630, 7276, 259236, 4327, 440348, 340205, 4057, 130, 4324, 93650, 2348, 728888, 124599, 55243, 4486, 10551, 51148, 4060, 2350, 9332, 563, 4069, 2147, 8530, 685, 283652, 25960, 283, 5542, 3678, 414062, 255631, 54210, 4922, 339168, 1280, 1281, 3136, 285242, 9547, 9350, 5033, 1514, 5552, 1908, 136288, 9152, 6696, 246777, 2660, 221223, 871, 222487, 116159, 54538, 133584, 132884, 145226, 2765, 256710, 8646, 43847, 4585, 7422, 3514, 80169, 283971, 5806, 387914, 646960, 1262, 148113, 84519, 9560, 84624, 83888, 653509, 1116, 5054, 9173, 2812, 2919, 3440, 7123, 245911, 245912, 1667, 249, 3576, 5794, 338645, 7130, 56955, 7038, 22943, 3309, 7133, 51330, 57124, 7305, 25878, 3447, 3040, 29881, 54437, 352999, 1950, 3909, 497190, 8797, 8793, 169044, 149685, 3557, 250, 344901, 401027, 652, 2921, 650, 55576, 355, 85480, 5858, 120425, 1358, 3569, 1359	800	4160	20581	1.3728912259615385	6.95241389209178E-5	9.932315793603763E-6	2.247684097733682E-4
