gene_id,C_0113_CAP_mRNASeq,H_1104_CAP_mRNASeq,C_0114_CAP_mRNASeq,H_1105_CAP_mRNASeq
ENSG00000210196.2,84.0,97.0,106.0,163.0
ENSG00000198727.2,53649.0,32018.0,81459.0,22051.0
ENSG00000210194.1,5.0,5.0,12.0,9.0
ENSG00000198695.2,3492.0,1914.0,3642.0,2214.0
ENSG00000198786.2,32988.0,11747.0,57612.0,20605.0
ENSG00000212907.2,8908.0,4985.0,13496.0,4532.0
ENSG00000198712.1,82470.0,63620.0,112828.0,51338.0
ENSG00000198804.2,393844.0,281565.0,646261.0,244148.0
ENSG00000198763.3,15881.7,11312.7,27804.6,10712.3
ENSG00000210112.1,10.0,9.0,9.0,9.0
ENSG00000210077.1,36.0,51.0,43.0,34.0
ENSG00000210049.1,21.0,21.0,18.0,18.0
ENSG00000182484.15_PAR_Y,281.728,322.997,481.629,96.1474
ENSG00000124334.17_PAR_Y,11.398,21.6354,14.2708,8.61855
ENSG00000124333.15_PAR_Y,473.494,340.995,513.498,631.49
ENSG00000229238.3,19.398,0.0,0.0,34.9203
ENSG00000228786.5,14.9347,16.9626,17.4764,9.73688
ENSG00000235412.1,12.9996,7.66667,14.3333,15.6667
ENSG00000184991.2,23.0,0.0,0.0,11.0
ENSG00000229236.1,130.0,0.0,0.0,98.0
ENSG00000012817.15,2390.84,48.1981,38.0994,2025.71
ENSG00000260197.1,112.0,19.0904,27.0,126.0
ENSG00000215580.10,80.8695,72.0903,57.687,55.9399
ENSG00000217896.2,68.0,0.0,0.0,37.0
ENSG00000176728.7,414.4980000000001,50.4898,34.3388,401.194
ENSG00000169953.11,119.027,4.52819,9.34247e-08,116.926
ENSG00000229406.1,60.5136,0.0,0.0,42.761
ENSG00000230663.1,62.5337,7.9813399999999985,8.5642,6.832039999999999
ENSG00000165246.12,2280.63,63.5713,66.2937,1925.52
ENSG00000215414.4,42.0,0.0,0.0,47.0814
ENSG00000228411.1,57.0,0.0,0.0,34.0
ENSG00000206159.10,188.976,106.205,93.4215,153.278
ENSG00000225117.1,69.0,0.0,1.0,24.0
ENSG00000271375.1,4.0,9.0,7.473560000000001,4.0
ENSG00000278212.1,12.0,11.1261,4.0,4.38861
