gene_id,Gene name,HGNC symbol,counts__beta,counts__p,counts__padj
ENSG00000253293,HOXA10,HOXA10,0.9870536015859092,2.220446049250313e-16,6.6413541333076864e-12
ENSG00000180818,HOXC10,HOXC10,1.2205594003267741,8.104628079763644e-15,1.2120471293286528e-10
ENSG00000005073,HOXA11,HOXA11,1.3394740236502205,1.731947918415244e-14,1.7267520746599985e-10
ENSG00000151615,POU4F2,POU4F2,0.6427397330330326,6.583622536027177e-14,4.922903751314324e-10
ENSG00000171540,OTP,OTP,0.7793608496788654,2.0972112935169207e-13,1.254551795781822e-09
ENSG00000170689,HOXB9,HOXB9,1.623772549792183,4.3365311341858614e-13,2.161760770391652e-09
ENSG00000128709,HOXD9,HOXD9,1.0805001437851054,1.0152989560197057e-12,4.11639430875077e-09
ENSG00000122592,HOXA7,HOXA7,0.5059340586598394,1.1010081735207675e-12,4.11639430875077e-09
ENSG00000130675,MNX1,MNX1,0.8173014186394568,5.123013124830322e-12,1.7025480284852772e-08
ENSG00000131668,BARX1,BARX1,0.5444044802031187,7.500555732065095e-12,2.24341621946067e-08
ENSG00000113196,HAND1,HAND1,0.7735855226674168,9.813150292359296e-12,2.6682847749496957e-08
ENSG00000168779,SHOX2,SHOX2,0.2332461469420821,1.862265897045745e-11,4.6416977483865196e-08
ENSG00000165030,NFIL3,NFIL3,0.010175227479685144,4.392164409949829e-11,1.010535673089226e-07
ENSG00000125772,GPCPD1,GPCPD1,-0.002957718157879577,5.978595396527453e-11,1.277284202215258e-07
ENSG00000163449,TMEM169,TMEM169,-0.030285672227553632,1.1345724360012356e-10,2.2623374373864635e-07
ENSG00000106031,HOXA13,HOXA13,0.5015474604333032,2.2403845445495565e-10,4.1881188579673273e-07
ENSG00000146278,PNRC1,PNRC1,0.002705373136079302,2.737504667393864e-10,4.816397917750029e-07
ENSG00000122862,SRGN,SRGN,0.0024256426989935718,3.753924948668441e-10,6.237771956370729e-07
ENSG00000185022,MAFF,MAFF,0.006261241793490814,7.338331053929893e-10,1.1552077990686476e-06
ENSG00000170545,SMAGP,SMAGP,0.09521655194423403,8.630565151435122e-10,1.2907010183971224e-06
ENSG00000069011,PITX1,PITX1,0.11756510489802653,1.1383060050107476e-09,1.6212729814224502e-06
ENSG00000110852,CLEC2B,CLEC2B,0.01877788672510589,1.3043008895152752e-09,1.7732563457000854e-06
ENSG00000147168,IL2RG,IL2RG,0.14975341592322478,1.5867893665699741e-09,2.063516084961214e-06
ENSG00000260549,MT1L,MT1L,0.022366347352520338,1.890100520540728e-09,2.355537773723881e-06
ENSG00000128710,HOXD10,HOXD10,0.3324630728798901,2.184975089747354e-09,2.6141041973737338e-06
ENSG00000182885,ADGRG3,ADGRG3,0.17130053411280244,3.4009002281010225e-09,3.9123433008654455e-06
ENSG00000163093,BBS5,BBS5,-0.0138779593894305,4.750864146529922e-09,5.262901726767035e-06
ENSG00000205358,MT1H,MT1H,0.022822834995449008,7.157626269460593e-09,7.645878632841655e-06
ENSG00000123405,NFE2,NFE2,0.16555073799624295,8.37323121949396e-09,8.635977440519461e-06
ENSG00000100906,NFKBIA,NFKBIA,0.0016450322771952284,9.530050637529541e-09,9.501460485616953e-06
