gene_id,Gene name,HGNC symbol,counts__beta,counts__p,counts__padj
ENSG00000253293,HOXA10,HOXA10,-0.8179012950855941,4.030109579389318e-14,1.0514152881668792e-09
ENSG00000171540,OTP,OTP,-0.8249087661426019,3.3761882178851005e-13,2.202034360410111e-09
ENSG00000180818,HOXC10,HOXC10,-1.2481091935393924,2.328137682638953e-13,2.202034360410111e-09
ENSG00000170689,HOXB9,HOXB9,-1.8533549838490733,3.1685765122801973e-13,2.202034360410111e-09
ENSG00000005073,HOXA11,HOXA11,-1.4307382090687073,4.917177776064818e-13,2.5656850199951012e-09
ENSG00000128709,HOXD9,HOXD9,-1.0922731673053192,7.627232179174825e-13,3.316447672041534e-09
ENSG00000131668,BARX1,BARX1,-0.7072940440138746,1.2491119250057636e-12,4.655440144496481e-09
ENSG00000168779,SHOX2,SHOX2,-0.35964983002006834,6.103673122481722e-12,1.990484101155321e-08
ENSG00000122592,HOXA7,HOXA7,-0.4542619159569747,1.4684808924414486e-11,4.2567997781005495e-08
ENSG00000128710,HOXD10,HOXD10,-0.9071829464011576,4.039157897040013e-11,1.0537759037587688e-07
ENSG00000106031,HOXA13,HOXA13,-0.8710188660207234,9.104328402287364e-11,2.1592983971570464e-07
ENSG00000151615,POU4F2,POU4F2,-0.581915310746829,1.9723078725775167e-10,4.287961673972903e-07
ENSG00000163449,TMEM169,TMEM169,0.0362843023610115,3.9600844825571363e-10,7.947280312725623e-07
ENSG00000069011,PITX1,PITX1,-0.15255297506679974,5.287856819080616e-10,9.853921182356729e-07
ENSG00000240990,HOXA11-AS,HOXA11-AS,-1.087803931331776,6.238524141721769e-10,1.0850457088891948e-06
ENSG00000113196,HAND1,HAND1,-0.7022676243838131,7.67879870799959e-10,1.2520761218312582e-06
ENSG00000273032,DGCR9,DGCR9,0.011511092284788341,8.334709589163938e-10,1.2790837557158701e-06
ENSG00000125772,GPCPD1,GPCPD1,0.002967408858933613,1.2394699711038015e-09,1.796474004229282e-06
ENSG00000130675,MNX1,MNX1,-0.7494258619616422,1.9879593526894727e-09,2.729677450121876e-06
ENSG00000106004,HOXA5,HOXA5,-0.6016841907748715,3.041651930324463e-09,3.7787455814397566e-06
ENSG00000183072,NKX2-5,NKX2-5,-0.9738155965004164,2.957215805565739e-09,3.7787455814397566e-06
ENSG00000146278,PNRC1,PNRC1,-0.002900702365070627,4.09505673815147e-09,4.8561788746197134e-06
ENSG00000103316,CRYM,CRYM,0.001307729508043131,4.674962417183792e-09,5.302830195735129e-06
ENSG00000138772,ANXA3,ANXA3,-0.009772836231072128,5.766612187763086e-09,6.268547723606299e-06
ENSG00000156097,GPR61,GPR61,0.01344863075082079,7.616658526110598e-09,7.862378361102638e-06
ENSG00000147168,IL2RG,IL2RG,-0.1615289503784033,7.835556647961539e-09,7.862378361102638e-06
ENSG00000152779,SLC16A12,SLC16A12,-0.06862565803677823,8.644940652224875e-09,8.353253950959065e-06
ENSG00000187554,TLR5,TLR5,-0.051628184229881136,1.1243838748953291e-08,1.0476446754337235e-05
ENSG00000086717,PPEF1,PPEF1,0.01884376081569597,1.4034313378097352e-08,1.2625558680040752e-05
ENSG00000198157,HMGN5,HMGN5,-0.015517043880474968,1.5106940365328114e-08,1.3137498906368173e-05
ENSG00000100906,NFKBIA,NFKBIA,-0.00177175414828073,1.7392055351450608e-08,1.4636817163354675e-05
ENSG00000184302,SIX6,SIX6,-0.7982759430784709,1.885271949664257e-08,1.5370268717122132e-05
ENSG00000183307,CECR6,CECR6,0.007894191570380222,2.2334554872216472e-08,1.7657157638219864e-05
ENSG00000109927,TECTA,TECTA,0.03767443343060289,2.332396775717172e-08,1.7897029259319202e-05
ENSG00000172006,ZNF554,ZNF554,0.02392621141750021,2.4846784740795158e-08,1.852079334578871e-05
ENSG00000152467,ZSCAN1,ZSCAN1,0.03467755526320625,2.556953093701964e-08,1.8530097017108482e-05
ENSG00000134453,RBM17,RBM17,-0.0035611471496823062,3.1197129102267234e-08,2.1997348679704057e-05
ENSG00000112303,VNN2,VNN2,-0.09115844019735153,3.449218421991418e-08,2.3073502413162588e-05
ENSG00000180871,CXCR2,CXCR2,-0.2315036551079209,3.4454311403919746e-08,2.3073502413162588e-05
ENSG00000205358,MT1H,MT1H,-0.026074280035198436,4.306087753036536e-08,2.8085380847242546e-05
ENSG00000149573,MPZL2,MPZL2,-0.012762588927807869,4.568656541970028e-08,2.9071141591086854e-05
ENSG00000143179,UCK2,UCK2,0.014691891700774697,4.7413466264245585e-08,2.9451664794473878e-05
ENSG00000157087,ATP2B2,ATP2B2,0.0004738226197718882,5.061310293097421e-08,2.999239073498103e-05
ENSG00000166111,SVOP,SVOP,0.0012055523978083565,5.288243987155994e-08,2.999239073498103e-05
ENSG00000145029,NICN1,NICN1,0.011642588867682838,5.019290849617164e-08,2.999239073498103e-05
ENSG00000170545,SMAGP,SMAGP,-0.09884162451108863,5.215087373056093e-08,2.999239073498103e-05
ENSG00000168453,HR,HR,0.0030586661629922267,5.4600303944774005e-08,3.0013187056268653e-05
ENSG00000163093,BBS5,BBS5,0.014714151935749662,5.521993862167561e-08,3.0013187056268653e-05
ENSG00000251493,FOXD1,FOXD1,-0.04407313552405362,6.213882652872371e-08,3.308448663893618e-05
ENSG00000198208,RPS6KL1,RPS6KL1,0.0039765732312295726,6.355562121029834e-08,3.3162052035109476e-05
ENSG00000087116,ADAMTS2,ADAMTS2,-0.009789501715219914,8.175386267961214e-08,4.182110830290984e-05
ENSG00000158186,MRAS,MRAS,-0.0009264707097445736,8.653231953203999e-08,4.26859738314561e-05
