gene_id,C_0074_BA9_mRNASeq,C_0107_BA9_mRNASeq,H_1106_BA9_mRNASeq,H_0821_BA9_mRNASeq,C_0103_BA9_mRNASeq,C_0113_CAP_mRNASeq,C_0106_BA9_mRNASeq,H_1104_CAP_mRNASeq,C_0114_CAP_mRNASeq,C_0054_BA9_mRNASeq,H_0802_BA9_mRNASeq,H_1105_CAP_mRNASeq,H_0791_BA9_mRNASeq
ENSG00000210196.2,90.0,73.0,149.0,92.0,143.0,84.0,67.0,97.0,106.0,110.0,132.0,163.0,112.0
ENSG00000198727.2,26649.0,34218.0,33492.0,27408.0,46635.0,53649.0,15626.0,32018.0,81459.0,35963.0,29785.0,22051.0,21948.0
ENSG00000210194.1,8.0,6.0,3.0,1.0,19.0,5.0,6.0,5.0,12.0,12.0,9.0,9.0,4.0
ENSG00000198695.2,4306.0,1378.0,2069.0,927.999,5940.0,3492.0,1654.0,1914.0,3642.0,3399.0,2954.0,2214.0,1892.0
ENSG00000198786.2,24132.0,33047.0,27902.0,23068.0,29545.0,32988.0,9838.0,11747.0,57612.0,27775.0,23401.0,20605.0,13108.0
ENSG00000212907.2,6454.0,6421.0,5793.0,4502.0,6786.0,8908.0,2772.0,4985.0,13496.0,7209.0,4641.0,4532.0,3086.0
ENSG00000198712.1,91707.0,51326.0,75333.0,31717.0,106026.0,82470.0,33233.0,63620.0,112828.0,78427.0,64503.0,51338.0,54628.0
ENSG00000198804.2,423363.0,370212.0,433456.0,265134.0,445686.0,393844.0,167218.0,281565.0,646261.0,444502.0,344298.0,244148.0,242560.0
ENSG00000198763.3,10433.7,11936.4,8821.22,7593.78,14208.3,15881.7,6326.44,11312.7,27804.6,10151.4,9126.21,10712.3,6285.2
ENSG00000210112.1,4.0,4.0,4.0,7.0,6.0,10.0,2.0,9.0,9.0,4.0,3.0,9.0,7.0
ENSG00000210077.1,41.0,9.0,23.0,9.0,65.0,36.0,47.0,51.0,43.0,60.0,74.0,34.0,44.0
ENSG00000210049.1,24.0,8.0,13.0,9.0,26.0,21.0,8.0,21.0,18.0,26.0,10.0,18.0,11.0
ENSG00000182484.15_PAR_Y,168.187,451.413,160.942,450.777,289.585,281.728,245.145,322.997,481.629,218.03,361.269,96.1474,283.045
ENSG00000124334.17_PAR_Y,1.47245,6.11429,4.3910800000000005,18.9216,7.52274,11.398,10.7418,21.6354,14.2708,3.96937,6.19217,8.61855,19.7659
ENSG00000124333.15_PAR_Y,851.995,600.0169999999998,943.974,323.498,484.0,473.494,422.49300000000005,340.995,513.498,947.493,671.495,631.49,566.553
ENSG00000229238.3,1.36667,0.0,14.6896,0.0,15.1241,19.398,0.0,0.0,0.0,0.0,0.0,34.9203,0.0
ENSG00000227635.1,5.28297,17.6253,7.17202,9.58667,5.55094,0.0,6.07661,4.2039800000000005,4.3314,9.06626,4.79911,7.3803100000000015,3.849380000000001
ENSG00000228786.5,9.32212,17.5702,18.4666,15.3161,13.4478,14.9347,9.44413,16.9626,17.4764,6.76104,9.96185,9.73688,15.3259
ENSG00000235412.1,7.0,16.6667,13.6667,23.3333,12.0,12.9996,14.3333,7.66667,14.3333,20.6667,19.6667,15.6667,29.3333
ENSG00000229236.1,86.0,0.0,151.0,0.0,106.0,130.0,0.0,0.0,0.0,0.0,1.0,98.0,0.0
ENSG00000012817.15,1990.74,37.1501,2611.31,58.194,2643.17,2390.84,48.223,48.1981,38.0994,23.2473,68.6258,2025.71,72.5915
ENSG00000260197.1,65.0,28.0,108.0,32.0,107.0,112.0,27.0,19.0904,27.0,24.0,29.0,126.0,22.0
ENSG00000215580.10,49.65600000000001,94.7889,73.6125,58.776,60.1894,80.8695,57.3045,72.0903,57.687,50.1227,83.4756,55.9399,91.4072
ENSG00000217896.2,45.0,0.0,46.0,0.0,87.0,68.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0
ENSG00000176728.7,340.44699999999995,42.1733,331.319,32.3352,408.203,414.4980000000001,19.1103,50.4898,34.3388,20.8139,37.7848,401.194,20.3977
ENSG00000169953.11,125.457,1.17008e-07,123.527,6.29327e-07,198.573,119.027,1.02841e-06,4.52819,9.34247e-08,0.5,1.02521e-07,116.926,0.500001
ENSG00000249634.1,9.0,0.0,26.0,0.0,9.0,12.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
ENSG00000229406.1,37.8564,0.0,41.7152,0.0,47.6763,60.5136,0.0,0.0,0.0,0.0,0.0,42.761,0.0
ENSG00000230663.1,50.926,8.24376,44.6104,9.20951,11.2896,62.5337,11.1038,7.9813399999999985,8.5642,6.895060000000001,7.4157600000000015,6.832039999999999,6.88807
ENSG00000228787.1,8.98035,3.0,15.257,2.27503,17.4207,19.0,5.29056,1.39825,3.0,2.75671,3.0,8.0,2.62237
ENSG00000165246.12,1858.0,70.0318,2312.26,55.2751,1975.85,2280.63,37.6203,63.5713,66.2937,48.1826,45.7274,1925.52,72.0121
