Assay_Type_s	AssemblyName_s	AvgSpotLen_l	BioSample_s	Center_Name_s	Experiment_s	InsertSize_l	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Library_Name_s	LoadDate_s	MBases_l	MBytes_l	ReleaseDate_s	Run_s	SRA_Sample_s	Sample_Name_s	data_type_s	instrument_name_s	lane_s	library_type_s	product_order_s	product_part_number_s	work_request_s	BioProject_s	Consent_s	Organism_s	Platform_s	SRA_Study_s
RNA-Seq	GRCh37	152	SAMN00992472	BI	SRX197226	174	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-85104	2014-10-02	8956	4934	2012-10-17	SRR595926	SRS332984	GTEX-N7MS-0011-R10A-SM-2HMJK							28255	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	202	SAMN00992785	BI	SRX198107	265	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-74471	2014-10-02	6156	2972	2012-10-19	SRR598042	SRS333297	K-562-SM-2D7VW							27435	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN00992878	BI	SRX198109	204	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-85102	2014-10-02	8500	4655	2012-10-19	SRR598044	SRS333390	GTEX-NFK9-0626-SM-2HMIV							28255	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	136	SAMN00992588	BI	SRX198113	196	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-86369	2014-10-02	12100	6974	2012-10-19	SRR598068	SRS333100	GTEX-QEG5-0826-SM-2I5GF							28308	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN00992543	BI	SRX198117	169	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-85436	2014-10-02	7776	4061	2012-10-19	SRR597927	SRS333055	GTEX-NL3H-0011-R6a-SM-2I3G8							28307	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN00992596	BI	SRX198120	178	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-85425	2014-10-02	6474	3413	2012-10-19	SRR597952	SRS333108	GTEX-OOBJ-2626-SM-2I3F6							28307	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	136	SAMN00992853	BI	SRX198123	163	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-86307	2014-10-02	9589	5610	2012-10-19	SRR597977	SRS333365	GTEX-NL4W-0011-R2a-SM-2I5GV							28308	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	136	SAMN00993045	BI	SRX198128	176	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-86365	2014-10-02	10375	6023	2012-10-19	SRR598009	SRS333557	GTEX-PWO3-1026-SM-2I5F2							28308	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	141	SAMN00992539	BI	SRX198134	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Solexa-86329	2014-10-02	12316	6966	2012-10-19	SRR599025	SRS333051	GTEX-QMRM-0526-SM-2I5GA							28308	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN00992642	BI	SRX198140	183	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-85149	2014-10-02	7419	4159	2012-10-19	SRR599059	SRS333154	GTEX-OIZG-0526-SM-2HMLF							28255	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
