SAMPID,SMATSSCR,SMCENTER,SMPTHNTS,SMRIN,SMTS,SMTSD,SMUBRID,SMTSISCH,SMTSPAX,SMTSTPTREF,SMNABTCH,SMNABTCHT,SMNABTCHD,SMGEBTCH,SMGEBTCHD,SMGEBTCHT,SMAFRZE,SMGTC,SME2MPRT,SMCHMPRS,SMNTRART,SMNUMGPS,SMMAPRT,SMEXNCRT,SM550NRM,SMGNSDTC,SMUNMPRT,SM350NRM,SMRDLGTH,SMMNCPB,SME1MMRT,SMSFLGTH,SMESTLBS,SMMPPD,SMNTERRT,SMRRNANM,SMRDTTL,SMVQCFL,SMMNCV,SMTRSCPT,SMMPPDPR,SMCGLGTH,SMGAPPCT,SMUNPDRD,SMNTRNRT,SMMPUNRT,SMEXPEFF,SMMPPDUN,SME2MMRT,SME2ANTI,SMALTALG,SME2SNSE,SMMFLGTH,SME1ANTI,SMSPLTRD,SMBSMMRT,SME1SNSE,SME1PCTS,SMRRNART,SME1MPRT,SMNUM5CD,SMDPMPRT,SME2PCTS
GTEX-1117F-3226-SM-5N9CT,1,B1,2 pieces,6.2,Brain,Brain - Cortex,1870,1418,931,Actual Death,BP-43956,RNA Extraction from Paxgene-derived Lysate Plate Based,9/25/13,LCSET-4904,3/22/14,TrueSeq.v1,USE ME,,0.93194586,77582,0.9701726,899,0.938704,0.89771676,0.24984738,25410,0.60106736,0.828911,76,48.172592,0.003152328,341,34024644,75863623,0.02963577,5659885,80817412,3871928,0.68020236,144588,36723345,63818,0.034178942,0,0.072455764,0.5642243,0.84269035,45599148,0.003087115,15938557,3921426,16140133,287,16142358,7747856,0.003119956,16391556,50.38298,0.07003299,0.94546217,821,0.39893264,50.31419
GTEX-111FC-3126-SM-5GZZ2,1,B1,2 pieces,6.1,Brain,Brain - Cortex,1870,1221,697,Presumed Death,BP-43693,RNA Extraction from Paxgene-derived Lysate Plate Based,9/17/13,LCSET-4804,3/5/14,TrueSeq.v1,USE ME,,0.92616814,83402,0.97031283,725,0.9367851,0.87070787,0.2761027,26511,0.69131696,0.84463286,76,57.426117,0.005319341,349,55518422,85542919,0.02938975,3398303,91315418,10370708,0.64475995,149064,41220817,47067,0.026013296,0,0.0996049,0.64761543,0.8156662,59137271,0.002444822,17869801,3422448,17961765,281,18099102,10288998,0.00389837,18548541,50.613186,0.037215,0.94740194,835,0.30868304,50.128323
GTEX-1128S-2726-SM-5H12C,1,B1,"2 pieces, no abnormalities",6.3,Brain,Brain - Cortex,1870,1034,811,Actual Death,BP-43783,RNA Extraction from Paxgene-derived Lysate Plate Based,9/19/13,LCSET-4805,2/27/14,TrueSeq.v1,USE ME,,0.9358733,73335,0.9647978,716,0.9452853,0.8886825,0.2735488,25596,0.6630165,0.7846993,76,54.255234,0.002452632,291,47965319,83780454,0.03492115,5127145,88629812,11294436,0.64105934,146501,40638697,47847,0.027011555,0,0.07611532,0.62673974,0.8400585,55547823,0.002598573,17674700,4489176,17990616,317,18093173,9247626,0.002524876,18280994,50.25818,0.05784899,0.9546973,864,0.3369835,50.44289
GTEX-117XS-3026-SM-5N9CA,1,B1,3 pieces,6.4,Brain,Brain - Cortex,1870,1017,437,Actual Death,BP-43989,RNA Extraction from Paxgene-derived Lysate Plate Based,9/26/13,LCSET-4904,3/22/14,TrueSeq.v1,USE ME,,0.9367534,81118,0.9704203,625,0.9427272,0.8954047,0.30643788,26378,0.6829455,0.7316922,76,71.0996,0.002879679,391,61804750,99052225,0.029267259,4404529,105069874,5487742,0.65008235,148605,48079118,42470,0.023064837,0,0.07501555,0.6438313,0.8441223,67647272,0.002799815,20972532,4918020,21335499,337,21413519,12041793,0.00284,21423858,50.01207,0.04192,0.94870096,885,0.31705448,50.42896
GTEX-117YW-2926-SM-5GIEQ,1,B1,"2  pieces, adherent meninges",5.9,Brain,Brain - Cortex,1870,1045,480,Actual Death,BP-44261,RNA Extraction from Paxgene-derived Lysate Plate Based,10/3/13,LCSET-4796,2/27/14,TrueSeq.v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTEX-1192X-3126-SM-5N9BY,1,B1,"2 pieces, ~5-10% adherent meninges, delineated",7.1,Brain,Brain - Cortex,1870,989,813,Actual Death,BP-43989,RNA Extraction from Paxgene-derived Lysate Plate Based,9/26/13,LCSET-4904,3/22/14,TrueSeq.v1,USE ME,,0.9382156,75770,0.96546173,706,0.9434192,0.87096465,0.29545653,25699,0.7871224,0.7546754,76,56.47549,0.002737892,264,73197085,69837412,0.034235336,2344768,74025850,3411046,0.629531,146743,33866179,49725,0.028471196,0,0.09449708,0.74258643,0.8216848,54970592,0.002630419,14568022,3163204,14714878,224,14736466,9573664,0.002684452,14865797,50.218445,0.03167499,0.94862294,863,0.2128776,50.25075
GTEX-11DXW-1126-SM-5H12Q,1,C1,"4 pieces, adherent meninges",6.6,Brain,Brain - Cortex,1870,1137,1304,Actual Death,BP-43730,RNA Extraction from Paxgene-derived Lysate Plate Based,9/18/13,LCSET-4805,2/27/14,TrueSeq.v1,USE ME,,0.93964785,82644,0.96819115,700,0.9477482,0.8814819,0.27961132,26345,0.6709615,0.7921609,76,59.740894,0.002229937,394,53133435,89962353,0.03152571,4496180,94922210,12470474,0.64061904,147999,43672163,53429,0.029712755,0,0.08670928,0.6359025,0.8354229,60361273,0.002335099,19102721,4284082,19279622,341,19374871,9847163,0.002282068,19665816,50.372616,0.047367,0.9558486,838,0.32903853,50.230446
GTEX-11DXY-3226-SM-5GIDE,1,B1,2 pieces,7.7,Brain,Brain - Cortex,1870,1016,1024,Presumed Death,BP-44261,RNA Extraction from Paxgene-derived Lysate Plate Based,10/3/13,LCSET-4796,2/27/14,TrueSeq.v1,USE ME,,0.9358036,55943,0.972048,937,0.942907,0.89694697,0.2786768,25467,0.74570495,0.7876354,76,47.92211,0.0035214,227,53102786,63576385,0.02756997,2027363,67425938,8754732,0.64834774,146911,30795024,69435,0.03732238,0,0.07510105,0.70313036,0.8457375,47409222,0.00227338,13479666,2784532,13670815,211,13736661,8456576,0.002902091,13823376,50.15732,0.030067999,0.9500104,842,0.2542951,50.35202
GTEX-11EI6-3026-SM-5GZZO,1,C1,"4 pieces, no significant abnormalities",6.4,Brain,Brain - Cortex,1870,1048,1387,Actual Death,BP-43783,RNA Extraction from Paxgene-derived Lysate Plate Based,9/19/13,LCSET-4805,2/27/14,TrueSeq.v1,USE ME,,0.93799466,79208,0.9670346,778,0.9462979,0.89105654,0.28561628,26072,0.61456937,0.7492874,76,54.994778,0.002291405,386,43373457,91907756,0.032726463,6756493,97123498,12189772,0.6579284,147900,44610585,60084,0.033853803,0,0.07597803,0.5815657,0.8432049,56483691,0.002416219,19582049,5216078,19847176,354,19880402,9072958,0.002353265,20240801,50.449135,0.069566,0.95460105,852,0.3854306,50.33621
GTEX-11EMC-3226-SM-5EGKW,1,B1,"2 pieces (fragmented), no abnormalities",6,Brain,Brain - Cortex,1870,864,536,Actual Death,BP-45028,RNA Extraction from Paxgene-derived Lysate Plate Based,10/24/13,LCSET-4797,2/11/14,TrueSeq.v1,USE ME,,0.93254316,60422,0.96220344,823,0.94341445,0.88871074,0.29955268,25388,0.6174439,0.77894014,76,44.85295,0.002250829,291,35098089,73678037,0.03754769,6036289,78097212,6793094,0.64674026,145683,35711119,59445,0.03399565,0,0.07349273,0.58250546,0.83842254,45492057,0.002522624,15547001,4646356,15772383,300,15909873,7327312,0.002385161,16128764,50.341606,0.07729199,0.9542857,854,0.38255605,50.35981
