"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge","type"
"KEGG_RIBOSOME",0.000126710593005575,0.0051199890250953,0.628889829829114,1.98457007982,0,86,"RPL36AL RPS21 RPS4X RPS16 RPS27 RPL36A RPL22L1 RPS19 RPS11 RPS15 RPL37A RPL36 RPL38 RPS28 RPL9 RPS20 RPS12 RPL39 RPLP2 RPS17 RPS24 RPL30 RPL41 RPL18 RPL31 RPL35 RPL32 RPS7 RPL28 RPL19 RPS27A RPL18A RPL12 RPL11 RPL23A RPL23 RPLP1 RPS5 RPS25 RPL37 RPS10 FAU RPS13 RPS3 RPL10 RPS6 RPL26 RPL14 RPS23 RPL13A RPS15A RPS8 RPL6 RPL8 RPL27 RPL4 RPL7 RPS2 RPL17 RPS9 RPS18 RPL3 RPL29 RPL27A RPLP0 RPL13 RPL7A RPL24 RPL34 MRPL13 RPL5 RPS29 RPL10A UBA52 RPS3A RPL35A","c2.cp"
"KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION",0.000111557340473003,0.0051199890250953,0.503472321990386,1.75556951672035,0,230,"TNFRSF6B PPBP CCL3 CCL4 IL1B CCL20 CCL2 CXCL10 TNFRSF12A LIF CSF3 OSM NGFR IL1R2 CCL4L2 GDF5 IL20 CCL26 TNFSF9 IFNK CXCR4 CXCR3 TNFRSF1B PF4 CCR2 CXCL3 PRL CD70 LTA IL18R1 CCL1 CXCL2 CSF2RA EDAR CXCR6 EPO CXCL16 TGFB1 IL4R IL6 CCR7 IL18RAP TNFRSF17 IFNA10 TNFRSF10C CXCL13 CCL3L1 CCL3L3 TNFRSF10A IL10 CLCF1 IL5RA CCR5 IL10RA IL15RA RELT FLT1 CXCL1 CSF3R TNFRSF8 CSF1 CCR1 TNF IL1R1 IL1A LTBR TNFRSF10B FLT3LG IFNA13 CSF2RB TNFSF14 CD40 VEGFA OSMR CSF1R IFNE TNFRSF10D IL6R IL9 ACVRL1 IFNW1 CCL17 INHBA IL18 IL24 CCL25 TGFB3 EPOR EDA2R TSLP TNFRSF18 TNFRSF1A TNFRSF11B","c2.cp"
"KEGG_LEISHMANIA_INFECTION",0.000131319763624425,0.0051199890250953,0.679278494863411,2.0784549713358,0,68,"IL1B FOS FCGR1A FCGR2A PTPN6 JUN FCGR3A PTGS2 TLR2 HLA-DRA ITGB2 NCF2 HLA-DRB5 TGFB1 ITGAM NFKBIA HLA-DQA1 IL10 C3 CYBA HLA-DRB1 HLA-DQB1 HLA-DPA1 TNF HLA-DQA2 NCF1 IL1A NCF4 MYD88 HLA-DPB1 HLA-DOA HLA-DOB RELA TGFB3 HLA-DMA MAPK13 MARCKSL1 FCGR3B","c2.cp"
"KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS",0.000122174709835064,0.0051199890250953,0.704725395395757,2.29139164486931,0,111,"HIST2H2AA3 HIST1H3H HIST1H2AI HIST1H4B HIST2H2AA4 CD80 CD86 FCGR1A HIST1H3B HIST1H2BG HIST1H2AE HIST1H4D HIST2H2AC FCGR2A HIST2H4A HIST1H4A HIST1H2BE HIST1H4E C1QA HIST2H2BE C1QB HIST1H2BH HIST2H2BF HIST1H2BF HIST1H2BC FCGR3A HIST1H2AB HLA-DRA HIST1H2BD HIST1H2AD C4B HLA-DRB5 HIST1H3A H2BFWT C1QC HIST1H4I HIST1H2BJ HLA-DQA1 HIST1H2BL HIST2H2AB HIST1H2AK IL10 HIST1H3D C4A C3 H2AFJ HIST1H2AG HLA-DRB1 HIST2H3C HIST2H3A HLA-DQB1 HLA-DPA1 HIST1H2BK TNF HIST1H2AC HLA-DQA2 H3F3B HLA-DPB1 CD40 C1R HLA-DOA HIST1H4H HIST1H3C HLA-DOB FCGR2B HIST1H3E HIST1H4J H2AFB3 C9 HLA-DMA ELANE FCGR3B HIST3H2A H2AFX","c2.cp"
"PID_SMAD2_3NUCLEAR_PATHWAY",0.000127893592531014,0.0051199890250953,0.58933181107428,1.84502493629158,0,81,"IGHA1 SERPINE1 ATF3 GSC FOS NKX2-5 CDKN1A JUN RUNX3 MYC MYOD1 RUNX1 CEBPB IRF7 VDR TGIF1 IL10 CDK2","c2.cp"
"PID_FRA_PATHWAY",0.00014208581983518,0.0051199890250953,0.757977181394682,2.07573032418791,0,35,"CCL2 LIF JUNB FOSL1 HMOX1 PLAUR JUN NOS3 NFATC1 IL6 ITGB4 FOSL2 JUND MMP9 CDKN2A THBD NFATC3 MMP1 NFATC2","c2.cp"
"PID_P53_DOWNSTREAM_PATHWAY",0.000119175306876415,0.0051199890250953,0.553259311265765,1.83556522575515,0,134,"POU4F2 SFN SERPINE1 ATF3 SPP1 BCL2A1 LIF EDN2 POU4F1 CDKN1A JUN DUSP1 DUSP5 FOXA1 BTG2 DDIT4 TNFRSF10C GADD45A VDR TNFRSF10A DKK1 GDF15 BDKRB2 PLK3 TNFRSF10B HIC1 SERPINB5 S100A2 NDRG1 TP53I3 TAP1 TNFRSF10D MCL1 SNAI2 ARID3A EPHA2 CD82 IRF5 TGFA GPX1 CASP1 MAP4K4 BCL6 CASP6 BAK1 DDB2 FAS PYCARD BBC3","c2.cp"
"PID_AP1_PATHWAY",0.000131613582521716,0.0051199890250953,0.667381284527355,2.02946449949208,0,65,"FOSB ATF3 DMP1 CCL2 FOS CYR61 FABP4 JUNB FOSL1 EGR1 JUN DUSP1 ACTA1 MYC NFATC1 TGFB1 IL6 MT2A IL10 TIMP1 FOSL2 JUND MMP9 CDKN2A ETS1 NFATC3 MMP1 NFATC2 AGT TRIP6 ELF1 IL5 PLAU","c2.cp"
"REACTOME_MEIOSIS",0.000124440019910403,0.0051199890250953,0.649994205498209,2.07992929312923,0,97,"HIST2H2AA3 HIST1H3H HIST1H4B HIST2H2AA4 HIST1H3B HIST1H2BG HIST1H2AE HIST1H4D HIST2H2AC H3F3AP6 HIST2H4A HIST1H4A LMNA HIST1H2BE HIST1H4E HIST2H2BE HIST1H2BH HIST1H2BF HIST1H2BC HIST1H2AB HIST1H2BD HIST1H2AD HSPA2 HIST1H3A HIST1H4I HIST1H2BJ HIST1H2BL HIST1H3D CDK2 HIST2H3C HIST2H3A HIST1H2BK FKBP6 HIST1H2AC H3F3B SUN2 HIST1H4H HIST1H3C","c2.cp"
"REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE",0.000120598166907863,0.0051199890250953,0.53256196861138,1.75227465334644,0,125,"SRP9P1 RPL23AP74 RPL34P27 RPL10P9 RPL21P75 RPL23AP2 RPS28P7 RPL26P30 RPL7AP66 RPL17P36 RPS21 RPS4X RPL23AP42 RPS16 RPS27 RPL36A RPS19 RPS11 RPS15 RPL37A RPL36 RPL38 RPS28 RPL9 RPS20 RPS12 RPL39 RPLP2 RPS17 RPS24 RPL30 RPL41 RPL18 RPL31 RPL35 RPL32 RPS7 RPL21P16 RPL28 RPL19 RPS27A RPL18A RPL12 RPL11 RPL23A RPL23 RPLP1 RPS5 RPS25 RPL37 RPS10 FAU RPS13 RPS3 RPL10 RPS6 RPL26 RPL14 RPS23 RPL13A RPS15A RPS8 RPL6 RPL8 SEC11A SSR4 RPL27 RPL4 RPS14 RPL7 RPS15P5 RPS2 RPL17 RPS9 RPS18 RPL3 RPL29 RPL27A RPLP0 SEC61B RPL13 RPL7A RPL24 RPL34","c2.cp"
