"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge","type"
"KEGG_RIBOSOME",0.000195427008012507,0.026668039538715,0.5364025328451,1.87968249723153,0,86,"RPS27 RPS4Y1 RPL21 RPS19 RPLP1 RPS3 RPS2 RPSA RPL23A RPS16 RPL18A RPL37 RPL13A RPS5 RPL28 RPS13 RPS18 RPL30 RPS12 RPL4 RPL27A RPL39 RPL10 RPL3L RPS15A RPS9 RPLP2 RPS6 RPL5 RPS20 RPS11 RPS28 RPL11 FAU RPLP0 RPL19 RPS17 RPS4X RPL29 RPL12 RPS27L RPS25 RPS3A RPL22L1 RPL3 RPL32 RPS27A RPL41 MRPL13 RPL35A UBA52 RPS8 RPL7 RPL17 RPL10A RPS29 RPS23 RPS10 RPL37A RPL35 RPL18 RPL13 RPL27 RPL24 RPL31 RPL6 RPL22 RPL23 RPL26 RPL7A","c2.cp"
"KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION",0.000197667523225934,0.026668039538715,0.443373848476346,1.77074194693778,0,227,"CXCL9 TNFRSF8 CXCR1 CXCR2 PRLR IL23R IL1R2 CCR2 TNFRSF17 IFNK CRLF2 CXCR3 IL18RAP IL2RA CXCL6 CCL19 CCR1 TNFSF8 TNFSF11 IL1R1 TNFSF14 INHBB IL22RA1 IL2RG CCL27 CXCL3 BMPR1B IL19 CSF1 TNFRSF10C CSF3R CCR5 CSF2RB IL17RA IL25 CXCR6 CXCL5 LIF CXCL1 EGFR IL7R TNFSF13 NGFR IL21R FAS PLEKHO2 CXCL12 TNFSF10 TNFRSF10D OSMR KDR CD27 CCL5 PF4V1 INHBA IL20RA TNFRSF1A TGFBR2 CCL2 IL7 TNFRSF12A CXCL11 TNFRSF10A XCL2 IL13RA1 CD40LG CCL13 CTF1 IL2RB IL1A IL18R1 BMP7 IL18 CD40 LIFR CNTFR BMP2 IL15 CCL20 TNFSF15 IL15RA IL6R CLCF1 TNFRSF1B CSF3 CCL4 ACVR1 VEGFC IL6ST IL24 TGFB2 CCL3 CXCL16 IL4R LTBR TSLP IL17RB CCR7 CCL4L2 INHBC IL12B TGFBR1 FLT4 TGFB1 CSF2RA CCL3L1 CCL3L3","c2.cp"
"KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS",0.000194817845314631,0.026668039538715,0.495905735382227,1.80727581826321,0,111,"CTSG FCGR3B HIST2H3D HIST2H2AB C6 C7 HIST2H4A C3 C4A C4B C1S CD28 H2AFJ FCGR3A TRIM21 C2 C1QB HIST2H3C HIST2H3A C1QC C1R HLA-DOA HIST1H2AK FCGR2A HIST1H2AD HIST1H2AM HLA-DRB1 C5 FCGR2B HIST2H4B CD40LG C1QA ELANE HLA-DRA HLA-DRB5 CD40 HLA-DPA1 HIST1H2BK FCGR1A HLA-DPB1 HIST1H2AB CD86 HLA-DQA1 CD80 HLA-DMA HLA-DQB1 HLA-DMB FCGR2C HIST4H4 HIST2H2AA4 HIST1H3D HIST1H2BC HIST1H2BE ACTN2 HIST1H2AC HIST2H2AC HIST1H2BJ HIST1H4I TNF HIST1H3G","c2.cp"
"REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS",0.000197941409342835,0.026668039538715,0.551679655218101,1.88819359254279,0,76,"ITGB7 ITGB3 COL1A1 ITGB4 THBS1 ICAM4 IBSP COL1A2 ICAM1 ICAM3 ITGAV LAMA1 ITGB5 ITGA5 VCAM1 FN1 ITGB8 SPP1 JAM2 ITGB6 TNC ITGAX LAMC1 APBB1IP COL4A1 ITGB2 RASGRP2 LAMB2 SYK ITGB1 PECAM1 ITGAM ITGA1 ICAM2 TLN1 VWF ITGAE ITGA2 RAP1B ITGAL","c2.cp"
"REACTOME_NEURONAL_SYSTEM",0.000201938610662359,0.026668039538715,-0.425084845164207,-1.7232198014622,0,270,"KCNS1 SLC17A7 KCNH5 GNG13 KCNC2 KCNJ6 KCNJ3 GABBR2 NCALD CHRNB3 KCNK9 CHRNA2 STX1A CHRNA6 RASGRF1 HCN1 ADCY1 KCNS2 KCNMB2 KCNV1 GRIN2A KCNAB3 GABRA1 SYT1 CAMK2A RASGRF2 KCNB2 KCNC1 GNG2 KCNC4 NEFL GRIK1 CHRNA4 GABRA3 VAMP1 GRIA4 GABRB2 KCNH3 SNAP25 CACNB3 SYN1 KCNN2 CHRNA7 KCNH1 KCNN1 KCNC3 PANX2 RIMS1 CACNG8 STXBP1 KCNK3 GLS CACNG2 KCNJ9 GRIK3 GNG3 GABRG2 RAB3A ABCC8 KCNA2 SYN2 CHRFAM7A KCNG1 GRIN1 KCNK1 STX1B CAMKK1 GRIP2 KCNH7 KCNJ12 KCNK10 KCNB1 KCNAB2 CAMK2D KCNQ2 GJD2 GABRG3 HCN4 SYN3 KCNG2 GLS2 KCNQ5 CACNB1 PICK1 ADCY6 GRIN2D CACNA1A CACNG3 KCNJ4 HCN3 KCNMB4 KCNV2","c2.cp"
"REACTOME_CLASS_A1_RHODOPSIN_LIKE_RECEPTORS",0.000198059021588433,0.026668039538715,0.38284030180968,1.5513408949768,0,263,"DRD3 PENK DRD2 CXCL9 HTR2C BRS3 CCKAR CXCR1 CXCR2 HTR1D RXFP2 ADORA2A PDYN P2RY1 TRHR KISS1 CCR2 TAC1 HCAR3 EDNRB MTNR1B CXCR3 SST NTSR2 RXFP4 F2RL1 FFAR2 TSHR OXTR HTR1B FPR2 DRD1 P2RY2 TACR1 CXCL6 CCL19 CCR1 OPN4 FPR3 GRPR EDN2 CCL27 CXCL3 AGTR1 LPAR4 C3 NPY HCRT GAST LHCGR PTGER4 CCR5 RLN2 PTGER1 CXCR6 PTGDR HTR4 NTS GNRH1 CXCL5 CXCL1 GALR3 HTR2B TRH PTGER2 PTGFR CXCL12 AGT FPR1 HRH3 NPFFR1 CCL5 HRH4 GPR55 CCL2 HTR6 HEBP1 C5AR1 CXCL11 PTAFR C5 XCL2 EDN1 ADORA2B GPR39","c2.cp"
"REACTOME_INNATE_IMMUNE_SYSTEM",0.000197863078749505,0.026668039538715,0.413015781696527,1.64289865661811,0,220,"DEFA1B DEFA3 UNC93B2 DEFB1 S100A12 DEFA4 DEFA1 CCR2 CR1 DEFB108B TLR4 C6 C7 CD180 C3 C4A TLR8 C1S MASP1 ART1 CFH CTSS TLR5 AIM2 MYD88 C2 C1QB C1QC CASP4 C5 IKBKE RNF135 TLR3 BCL2 SAA1 C1QA TLR1 PELI1 CFI TRIM25 UNC93B1 TNFAIP3 PROS1 TANK NLRC5 PYCARD CD4 CASP1 IRF1 MAPKAPK3 MAPKAPK2 CD14 MAP3K1 PLCG2 TLR2 MAPK7 LY86 CFD TAB2 LY96 HERC5 IRAK4 IRAK3 TXNIP MAPK1 S100B RPS6KA5 BTK NOD1 BIRC3 SIGIRR HSP90B1 MAVS RELA NFKB2 UBE2L6 IFNA2 IRF2 PPP2R1B DDX58 PANX1 CHUK TLR7 FADD CAPZA2 IFIH1 CFB","c2.cp"
"REACTOME_POTASSIUM_CHANNELS",0.000205930807248764,0.026668039538715,-0.526236875027028,-1.87515741555056,0,95,"KCNS1 KCNH5 KCNC2 KCNJ6 KCNJ3 GABBR2 KCNK9 HCN1 KCNS2 KCNMB2 KCNV1 KCNAB3 KCNB2 KCNC1 GNG2 KCNC4 KCNH3 KCNN2 KCNH1 KCNN1 KCNC3 KCNK3 KCNJ9 GNG3 ABCC8 KCNA2 KCNG1 KCNK1 KCNH7 KCNJ12 KCNK10 KCNB1 KCNAB2 KCNQ2 HCN4 KCNG2 KCNQ5 KCNJ4 HCN3 KCNMB4 KCNV2","c2.cp"
"REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL",0.000397535281256211,0.0420028380295966,0.625844368343037,2.02801738449454,1,55,"CD3E ITGB7 HLA-G SELL C3 ICAM4 ICAM1 ICAM3 FCGR3A VCAM1 LILRB3 LILRB4 LILRB5 HLA-A FCGR2B CD8A CD40LG CD40 HLA-F ITGB2 B2M TYROBP HLA-B HLA-K CD226 ITGB1 CD8B HLA-C CD81 CD160 CD3D ICAM2 LILRB2 LILRA1","c2.cp"
"REACTOME_VOLTAGE_GATED_POTASSIUM_CHANNELS",0.000405432799513481,0.0420028380295966,-0.631843295154704,-1.94085299644645,1,42,"KCNS1 KCNH5 KCNC2 KCNS2 KCNV1 KCNAB3 KCNB2 KCNC1 KCNC4 KCNH3 KCNH1 KCNC3 KCNA2 KCNG1 KCNH7 KCNB1 KCNAB2 KCNQ2 KCNG2 KCNQ5","c2.cp"
"PID_FRA_PATHWAY",0.000600120024004801,0.0478249496053057,0.655018395396237,1.93587924640439,2,35,"MMP9 MGP HMOX1 NFATC2 GJA1 ITGB4 COL1A2 MMP2 LIF THBD CCL2 PLAUR FOSL1 DCN NFATC1","c2.cp"
"PID_SYNDECAN_4_PATHWAY",0.000596421471172962,0.0478249496053057,0.661973334591461,1.90848217834033,2,31,"MMP9 ADAM12 FZD7 THBS1 FGF2 CXCL12 LAMA1 ITGA5 CCL5 FN1 SDC4 TNC SDCBP ITGB1 MDK","c2.cp"
"PID_UPA_UPAR_PATHWAY",0.000592417061611374,0.0478249496053057,0.656764918957346,1.97678705105231,2,38,"CTSG MMP9 ITGB3 FPR2 FPR3 SERPINE1 EGFR MMP3 ITGAV ITGB5 FPR1 ITGA5 FN1 PLAUR ELANE ITGB2 ITGB1 ITGAM LRP1 TGFB1 PLAU DOCK1","c2.cp"
"KEGG_CELL_ADHESION_MOLECULES_CAMS",0.000969743987587277,0.0517482517482517,0.425952368838706,1.58062203928968,4,125,"ITGB7 SELP CDH15 HLA-G PDCD1 SDC2 SIGLEC1 SELL PDCD1LG2 CD2 CD99 ICAM1 ICAM3 ITGAV CD28 VCAM1 ITGB8 JAM2 SDC4 HLA-DOA CDH5 HLA-A HLA-DRB1 CLDN6 CD8A PTPRC CD40LG CLDN23 HLA-DRA HLA-DRB5 CD40 ITGA6 HLA-F ITGB2 CDH4 SELE HLA-DPA1 HLA-DPB1 CD86 HLA-DQA1 CD80 HLA-B HLA-DMA CD4 CD226 SDC3 CD58 ITGB1 PECAM1 PTPRM CD8B CD274 HLA-DQB1 HLA-C HLA-DMB ITGAM MPZL1 ALCAM ICAM2","c2.cp"
"KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION",0.000788643533123028,0.0517482517482517,0.551916774575581,1.84375826045281,3,65,"HLA-G KLRC4 IFI30 HSPA6 HSPA1B CTSS HSPA1A HSPA1L HLA-DOA HLA-A HLA-DRB1 CD8A HLA-DRA HLA-DRB5 CD74 HLA-F B2M HLA-DPA1 HSPA5 HLA-DPB1 HLA-DQA1 HLA-B HLA-DMA CD4 HSP90AA1 CD8B HLA-DQB1 HLA-C HLA-DMB HLA-E HSPA8 LTA TAP1 RFXANK IFNA2 PDIA3 CANX","c2.cp"
"KEGG_HEMATOPOIETIC_CELL_LINEAGE",0.000984445757038787,0.0517482517482517,0.510289468344686,1.75178281179054,4,77,"MME CD3E IL1R2 CR1 CD38 FCER2 IL2RA MS4A1 ITGB3 IL1R1 CD2 CSF1 CSF3R IL7R ITGA5 CD44 HLA-DRB1 IL7 CD8A IL1A CD59 HLA-DRA HLA-DRB5 ITGA6 CD7 ANPEP IL6R FCGR1A CSF3 CD4 CD14 CD8B CR2 IL4R ITGAM CD37 ITGA1 CD3D","c2.cp"
