"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge","type"
"KEGG_RIBOSOME",0.000147362216327734,0.00205808278771978,0.718550985066716,2.44615230283004,0,87,"RSL24D1P11 RPL22L1 RPL34 RPLP1 RPL21 RPL27A RPS27L RPL36 RPLP2 RPS15A RPS6 RPS26 RPS8 RPL39 RPS27 RPS17 RPL35 RPL35A RPS28 RPL11 RPL13A RPL30 RPS3A RPL23 RPS13 RPS24 RPS3 RPL9 RPL23A RPL13 RPL36AL RPS12 RPL17 RPL27 RPS16 RPL38 RPS21 RPS18 RPL5 RPS25 RPL18 RPL24 RPL18A RPL36A RPS11 RPL12 RPS29 RPL28 RPL8 RPL32 RPS19 RPS20 RPS27A RPS4X RPL19 RPL4 RPS7 RPL26 RPS2 RPS10 RPL10 RPS9 RPL22 FAU RPL29 RPL7 RPL6 RPLP0 RPSA RPS5 RPL41 RPL31 RPS15 RPL14 RPS4Y1 RPS23 RPL7A","c2.cp"
"KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION",0.000127404764938209,0.00205808278771978,0.66854153868337,2.56106552530872,0,221,"IL1R2 CCL26 PPBP CXCR1 CCR2 TNFRSF11B CCL2 CXCL6 CXCR2 CXCL1 CCL20 CSF3 TNFRSF6B IL18 IFNA2 TNFRSF10D CXCR4 IL18R1 IL6 CXCL3 IL18RAP LIF TSLP LTA CCR5 LEPR TNFRSF12A IL9 IL17RB CCR9 CXCL2 IL2RG OSMR IL4R KDR IL1R1 CCR1 HGF TNFRSF1A TNFRSF1B TNF CCL3 NGFR CXCL5 TNFRSF10A FLT1 IL1B TNFRSF10C CXCL13 TGFB1 CSF1 CCL27 IL2RA CCL17 OSM IL10 CSF2RB CD40LG FASLG CSF1R TNFSF11 IL15RA TGFBR2 CCL4 EGFR LTBR IL13RA1 CSF3R ACVRL1 CTF1 CXCR6 TNFRSF10B PDGFRB EPO CCL5 TNFRSF8 BMPR1B CD40 IL12A TGFB2 INHBE FAS CXCL16 FLT3LG INHBB LIFR VEGFA CSF2RA IL10RA PLEKHO2 TNFSF8 IFNGR1 GDF5 IL3RA TGFB3 IL6R XCL1 TNFSF14 BMPR1A IL7R TGFBR1 EDA IL24 IL20RA EPOR CLCF1 FLT4 BMP7 EDA2R CXCR5 IL7 TNFSF13B VEGFC","c2.cp"
"KEGG_CHEMOKINE_SIGNALING_PATHWAY",0.000133155792276964,0.00205808278771978,0.547779175877504,2.03982719410513,0,171,"CCL26 PPBP CXCR1 CCR2 CCL2 CXCL6 CXCR2 CXCL1 CCL20 CXCR4 CXCL3 CCR5 CCR9 CXCL2 FGR NFKBIA PRKX CCR1 PARD3 CCL3 CXCL5 HCK RAC2 CXCL13 CCL27 CCL17 GNG11 GNG12 DOCK2 CCL4 GNG5 PIK3R5 RELA CXCR6 CCL5 PXN CXCL16 NCF1 WAS LYN PLCB3 ROCK1 XCL1","c2.cp"
"KEGG_TGF_BETA_SIGNALING_PATHWAY",0.000148060408646728,0.00205808278771978,0.590482656537312,1.9963324338866,0,83,"PITX2 BMP5 BMP6 DCN ID3 BMP4 TNF SMAD6 ID1 TGFB1 MYC TGFBR2 ACVRL1 BMPR1B TGFB2 INHBE ID4 INHBB SP1 CDKN2B GDF5 TGFB3 ROCK1 BMPR1A SMAD5 TGFBR1 SMAD4 THBS1 LTBP1 E2F5 BMP7 LEFTY2 SMAD9 RBL1 PPP2R1B","c2.cp"
"KEGG_FOCAL_ADHESION",0.000131044424059756,0.00205808278771978,0.455896975810439,1.72124878355912,0,196,"COL1A1 COL2A1 COL1A2 ITGA10 PDGFD COL6A2 KDR HGF COL6A3 PGF PARVG CAV3 FLT1 RAC2 MYL12A COL4A6 ITGA5 SPP1 COL3A1 ITGB4 ITGA1 VASP LAMB2 BIRC3 EGFR PIK3R5 ITGB8 CAV1 VWF PDGFRB CAPN2 PXN CAV2 VEGFA ERBB2 MYLPF LAMB4 ITGB1 ROCK1 BCL2 FN1 ITGB5 ARHGAP5 LAMA2 ITGA6 RAP1A ITGAV PPP1CC PIK3CG THBS1 FLT4 ELK1 RAP1B VEGFC VAV1 LAMA3 COL5A1 LAMC1 TLN1 COL4A4 PDGFC VAV3 PDGFRA ITGA8 CCND1 PAK4 ITGA11 ITGB3 LAMA1 LAMA4 JUN PAK2 VCL TNXB CCND3 VEGFB ITGA7 SHC1 COL4A1 RHOA ITGB7 IGF1R DOCK1 COL11A1 FYN ILK","c2.cp"
"KEGG_CELL_ADHESION_MOLECULES_CAMS",0.000139664804469274,0.00205808278771978,0.597099755905886,2.14039516306728,0,125,"CLDN7 VCAM1 SELL PTPRC CD2 HLA-DRA CD86 ICAM1 HLA-G HLA-DMB ITGB2 HLA-DRB1 SIGLEC1 HLA-DRB5 ICAM2 PECAM1 CLDN19 HLA-DQA1 CD99 CLDN22 HLA-DPA1 CD58 CD34 CD40LG HLA-DQB1 CD4 SDC2 CD28 CLDN5 HLA-DPB1 HLA-DMA ITGB8 ICAM3 ITGAM VCAN CLDN15 ITGAL CDH1 CD40 HLA-E SELE ESAM PDCD1LG2 CDH5 CLDN23 SELP CLDN14 HLA-B ITGB1 PDCD1 ITGA6 ITGAV CLDN9 CLDN2 SDC4 MPZ HLA-DOA JAM2 F11R SELPLG","c2.cp"
"KEGG_COMPLEMENT_AND_COAGULATION_CASCADES",0.000153586238673015,0.00205808278771978,0.725538318878399,2.33331592194864,0,60,"F13A1 SERPIND1 SERPINA5 C7 SERPINA1 CFH C3AR1 C5AR1 C1QB C1QA CR1 C4B C1QC CFI CFB C1R F10 SERPING1 C4A PLAUR C1S SERPINE1 SERPINF2 C6 C3 VWF F5 CFD PROS1 THBD C2 SERPINC1 CD55 F3 F2R PLAU TFPI CD59","c2.cp"
"KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION",0.000151883353584447,0.00205808278771978,0.676819444740411,2.20984983898419,0,66,"HSPA6 IFNA2 HSPA1A LTA HSPA1B IFI30 HLA-DRA HLA-G HLA-DMB HLA-DRB1 HLA-DRB5 CTSS HLA-DQA1 HLA-DPA1 CD74 KLRC3 HLA-DQB1 CD4 HLA-DPB1 HLA-DMA HLA-E KLRC4 B2M HLA-B TAP1 CIITA","c2.cp"
"KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY",0.00014553922282055,0.00205808278771978,0.59883652558432,2.06448890333455,0,93,"TLR8 LBP IFNA2 TLR2 CD14 IL6 CD86 LY96 TLR5 NFKBIA MAP3K8 TNF CCL3 IRF7 TLR7 TLR1 IL1B SPP1 FOS CCL4 TLR6 PIK3R5 TLR4 RELA CTSK CCL5 CD40 IL12A MYD88 IRF5 TLR3 TAB2 PIK3CG TICAM2","c2.cp"
"KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY",0.000153421294875729,0.00205808278771978,0.64057458395915,2.04077867581852,0,56,"CCL2 CXCL1 CASP5 IL18 IL6 NOD2 CXCL2 TNFAIP3 NFKBIA CASP1 TNF CARD6 IL1B PYCARD BIRC3 RELA CCL5 CARD8 TAB2 TRIP6 PYDC1 CARD9","c2.cp"
"KEGG_JAK_STAT_SIGNALING_PATHWAY",0.000138869601444244,0.00205808278771978,0.516938197064523,1.85839008075697,0,127,"SOCS3 CSF3 IFNA2 IL6 LIF TSLP LEPR IL9 IL2RG OSMR IL4R CISH MYC IL2RA OSM IL10 CSF2RB IL15RA IL13RA1 CSF3R PIK3R5 CTF1 PTPN6 STAT5A EPO PIM1 IL12A LIFR CSF2RA IL10RA IFNGR1 IL3RA IL6R SOCS4 IL7R IL24 IL20RA PIK3CG EPOR CLCF1 IL7 IL15 SOCS1 STAT3","c2.cp"
"KEGG_HEMATOPOIETIC_CELL_LINEAGE",0.00014883167137967,0.00205808278771978,0.710418490800938,2.38127755965237,0,79,"IL1R2 CSF3 FCER2 CD3E ANPEP CD14 IL6 FCGR1A CR1 CD2 HLA-DRA IL4R CD44 MS4A1 IL1R1 HLA-DRB1 TNF HLA-DRB5 IL1B CSF1 ITGA5 CD37 CD7 IL2RA CD34 ITGA1 CD4 CSF1R CD33 CSF3R ITGAM EPO FLT3LG DNTT CSF2RA CD55 IL3RA CD3D IL6R IL7R ITGA6 CD59 EPOR GYPA","c2.cp"
"KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY",0.000141502759303806,0.00205808278771978,0.588540897299771,2.08436176625444,0,113,"FCGR3B CD48 IFNA2 TNFRSF10D FCER1G FCGR3A ICAM1 HLA-G TYROBP SYK ITGB2 TNF ICAM2 HCST LCK TNFRSF10A RAC2 TNFRSF10C KLRC3 FASLG NFATC4 PIK3R5 TNFRSF10B PTPN6 NFATC2 ITGAL HLA-E NCR1 NCR3 FAS SH2D1A MICB IFNGR1 MICA NFATC1 HLA-B PLCG2","c2.cp"
