,gene_id,C_0083_BA9_mRNASeq,C_0010_BA9_mRNASeq,H_0006_BA9_mRNASeq,C_0053_BA9_mRNASeq,H_0689_BA9_mRNASeq,C_0024_BA9_mRNASeq,H_0709_BA9_mRNASeq,H_0014_BA9_mRNASeq,C_0029_BA9_mRNASeq_REPEAT,C_0021_BA9_mRNASeq_REPEAT,C_0074_BA9_mRNASeq,C_0031_BA9_mRNASeq,C_0107_BA9_mRNASeq,C_0005_BA9_mRNASeq,C_0082_BA9_mRNASeq,H_1106_BA9_mRNASeq,C_0032_BA9_mRNASeq,H_0821_BA9_mRNASeq,H_0695_BA9_mRNASeq,C_0019_BA9_mRNASeq,H_0723_BA9_mRNASeq,C_0060_BA9_mRNASeq,H_0750_BA9_mRNASeq,C_0014_BA9_mRNASeq_REPEAT,H_0010_BA9_mRNASeq,H_0002_BA9_mRNASeq,C_0022_BA9_mRNASeq,C_0037_BA9_mRNASeq,C_0029_BA9_mRNASeq,C_0018_BA9_mRNASeq,H_0009_BA9_mRNASeq,H_0013_BA9_mRNASeq,C_0077_BA9_mRNASeq,H_0012_BA9_mRNASeq,C_0002_BA9_mRNASeq,C_0039_BA9_mRNASeq,H_0726_BA9_mRNASeq,C_0020_BA9_mRNASeq,C_0006_BA9_mRNASeq,C_0034_BA9_mRNASeq,C_0076_BA9_mRNASeq,C_0075_BA9_mRNASeq,C_0071_BA9_mRNASeq,C_0015_BA9_mRNASeq,C_0103_BA9_mRNASeq,H_0001_BA9_mRNASeq,H_0007_BA9_mRNASeq,C_0025_BA9_mRNASeq,H_0003_BA9_mRNASeq,C_0113_CAP_mRNASeq,H_0513_BA9_mRNASeq,C_0023_BA9_mRNASeq,C_0033_BA9_mRNASeq,C_0013_BA9_mRNASeq,H_0700_BA9_mRNASeq,C_0061_BA9_mRNASeq,C_0106_BA9_mRNASeq,H_1104_CAP_mRNASeq,C_0036_BA9_mRNASeq,C_0016_BA9_mRNASeq,C_0011_BA9_mRNASeq,C_0065_BA9_mRNASeq,C_0009_BA9_mRNASeq,C_0114_CAP_mRNASeq,H_1105_BA9_mRNASeq,C_0038_BA9_mRNASeq,H_0740_BA9_mRNASeq,C_0003_BA9_mRNASeq,H_0656_BA9_mRNASeq,C_0054_BA9_mRNASeq,C_0004_BA9_mRNASeq,C_0026_BA9_mRNASeq,C_0017_BA9_mRNASeq,H_0802_BA9_mRNASeq,H_1105_CAP_mRNASeq,C_0021_BA9_mRNASeq,C_0070_BA9_mRNASeq,C_0014_BA9_mRNASeq,H_0681_BA9_mRNASeq,H_0539_BA9_mRNASeq,C_0062_BA9_mRNASeq,H_0005_BA9_mRNASeq,C_0012_BA9_mRNASeq,C_0050_BA9_mRNASeq,H_0791_BA9_mRNASeq,C_0018_BA9_mRNASeq_REPEAT,H_1104_BA9_mRNASeq,C_0087_BA9_mRNASeq,H_0658_BA9_mRNASeq,C_0035_BA9_mRNASeq,H_0008_BA9_mRNASeq,H_0657_BA9_mRNASeq,H_0601_BA9_mRNASeq,C_0008_BA9_mRNASeq,C_0081_BA9_mRNASeq,C_0069_BA9_mRNASeq,Sliced_ids
3296,ENSG00000099817.11,3530.9200558515754,4023.9479827607374,5595.527255790228,3563.5860784147644,2916.228722566529,3396.7529580892933,4833.021061777304,945.6295693767768,3746.2940708503625,3914.610078197406,1306.194689791042,5044.534611118263,1121.9152201869358,3695.6359391743654,4191.907396401998,1076.013264262543,3159.1614429245465,891.3898624569232,2468.1459241371804,4170.793097988824,3866.7143638005027,2754.147433796393,2663.597435104315,2854.196521245777,3647.12223426824,2216.598225946891,4449.138964393294,4073.206970383156,4419.262761765884,2547.015708292672,3058.8739967571514,3725.030528105548,3533.3104694666968,3343.9869657430845,4043.133006823352,3339.2956689641837,3158.817942845305,4694.86513403965,4738.0736922630795,3046.2919136277064,4090.5537670833387,4240.266750164879,3317.355775343969,3515.658264444309,1105.3391057887434,5136.24772675406,2482.7163559469914,4262.009140465642,3812.923560426001,931.115687967256,4219.19104002072,4153.580249054342,3915.130762626325,3446.1670647205183,2738.994212418774,3152.8035292943628,768.1868125223336,967.0790713056723,4259.74424704974,4379.535044692234,4588.941056205335,1748.9900367789096,3160.314595601881,869.9947618824225,4682.544773851912,3600.932894397786,3688.614090661181,3507.3856878692045,3625.2524255910635,1113.9722559044349,4205.509226345583,4768.181999454489,3321.4831655535145,969.0603637539293,959.9799840575827,4263.327810737047,4315.83503382026,3901.748661272336,3228.5389715994725,3949.9729502533087,3987.984128574779,3165.7294082220537,3351.7397372078844,3156.5783739472167,905.9873704094946,3411.210186686398,3513.845167480865,3203.3202732810273,3294.2584943614274,4805.926170451226,2863.817392424056,4071.7121085678978,3081.3439907846523,3531.733057766628,3050.281957527215,4226.696064180932,ENSG00000099817
3308,ENSG00000184678.10,445.6420950973714,388.1754008111081,603.7964294620152,913.6156135363033,956.8148120306804,312.58880915379495,966.076813278824,758.4131140452936,677.442593869899,456.82986060410025,751.8169738153755,504.53652505192633,584.2513471656042,488.20867738453165,786.0589182955691,852.324590671926,418.9540016866554,634.1798644917618,1387.4743956341342,673.1143424588809,598.0450847458034,1156.3345089996044,1846.457986884327,688.9772929534967,376.41332205785193,1082.3634460975516,303.3799862759438,453.9235108153591,588.0588791065258,772.5193161667868,816.5589229819121,263.23835394716826,572.7581903899046,2327.1879683091793,446.0379913986576,646.2409597110916,595.1089824034276,226.9777962336964,820.401375832927,777.4414251697917,312.69545606549167,668.9378313527168,2125.913811529153,234.3538990822906,468.112082732602,466.0655545854607,876.3076553584439,491.83989503247193,993.7765921062094,915.8259684607913,429.15120924361366,474.5531002610906,727.2645244108506,563.4023858719439,631.5918740151737,539.5712659170641,673.0965721638341,1003.0953406018207,504.3919557255861,556.8643748529149,818.7712234778216,1014.1440000915021,4967.029841548029,445.6780729299508,1639.229515568252,656.3028369946909,1291.4417470547833,3257.843735536764,1101.3073191788276,617.6243189323939,420.57380115224237,456.5629840399403,809.3471270759268,569.4757627377322,1052.751871662985,802.7016496745108,682.1464493993016,579.8618236493678,1595.3965505764736,436.88437812418215,502.9820746781865,925.2281175909334,1004.0637255315004,548.4372784571782,508.8420455091118,300.6032386123805,1518.925933755203,445.13689024518885,321.24494912404487,303.86991850828474,1417.118231171433,654.7212134501486,609.6676298552096,463.0321428688671,356.1034893968368,320.54614393860993,ENSG00000184678
3322,ENSG00000182810.6,247.16547990662056,204.24031281822744,274.4529224827342,232.36042586485718,93.62839769833886,263.34253578381515,189.76508832262613,164.63455873232763,176.20298329316554,200.1435342135842,137.6607705703882,390.7081626926502,130.60623776429028,150.36910564128925,275.67592014568095,126.00554861516315,259.10440807571786,116.72831578058643,178.16128377177563,211.03214308114727,293.9446376595665,133.52197143148658,202.08724151070493,190.1443622493288,351.44301398771955,214.22697506214612,275.21009754178533,335.29816665561185,231.22722449510277,209.0796484815495,134.04355814010304,437.41109941597136,234.0382500442396,153.12448155767478,199.13680634466732,230.42627412713145,240.43943070505122,277.5794183545211,280.1459672734459,238.85680918791397,313.6768971297583,176.29642353384412,190.3786266495657,291.69004294045294,113.95633696104878,374.70028066892763,222.48963017262585,268.8158737968001,205.840045571132,135.6860158703555,284.17543774711123,182.20794891201385,298.9307976199083,178.6271880573988,192.53426444885247,143.59847396329053,96.3689826279863,103.79754806157776,222.461080909538,270.2508203768274,250.31523000930318,183.6743582094309,169.71054245643003,141.88314072820518,309.91895129494554,314.3035728466321,120.01539785850828,154.03824218051858,253.94222165531215,173.3101464248016,236.7429221234125,211.91565102693352,256.81492070762107,125.7995916402338,165.376342289546,222.47738440909302,235.67923517352315,249.36057574777809,122.83176838358946,256.3638711874479,313.56734473357307,223.97928006849068,222.698947380472,253.81359918361275,77.62287175268865,298.2455661526756,166.8232766342892,242.3263117103167,246.88719369760116,338.5371313133753,133.6581429237605,244.32090356160361,245.70517302938995,210.19126368513105,191.59829985560023,379.5774140104728,ENSG00000182810
3488,ENSG00000077235.17,2452.3854859401645,3178.406436733331,3272.6145032596382,2489.880526698653,2984.8770637589514,3227.165241758142,3349.230584811025,3477.191730728313,2676.484731628303,2480.702818683169,2924.5890237504927,2377.064359899116,3701.273849156437,4080.8034257401036,2278.27324314228,2857.772899964812,2471.061939556288,4033.885294742456,1964.3423595349618,3067.0528647778656,3450.2323425361965,2460.7414606764346,2502.0027207470857,2532.3771881387884,2599.1678802366096,2742.341995685042,2888.519773768306,2531.0774963064428,2603.5584887955083,3747.4683948120473,2889.9299232040557,2548.266020353227,2700.102509140127,2841.193291368089,3630.8459113671424,2474.987662556417,2922.922047289876,3788.7421574856207,3434.973631146433,2297.524016628141,3007.283562960151,2819.0951464150207,2305.0584580113364,3294.785816939806,3445.778090568106,3528.3420949564497,2643.000420949018,3044.8055408271216,3114.407759269267,3323.852066622804,3015.7719208106355,3360.128940230373,2396.461998368997,3376.7879386193194,2567.4090890374755,2480.787429503744,3651.819200452574,4666.869513003244,2506.5416839114278,3227.85697790542,3195.724082727468,2160.6999744054406,2689.488922324082,4184.892168032104,2997.9493221931066,2335.706943311246,2585.402127106879,3245.650849324729,2742.575993877372,3117.6158176138397,3109.4889687302,3413.9522684018048,3201.0145473914195,3398.171359086818,3215.0857108700957,3185.6708060472492,3173.483917449771,3284.7983354133535,2829.557042854399,2759.7541573034837,2598.7805227773747,2628.241619749318,3474.271132636795,2628.242465869243,3826.854873819781,2602.87039551426,2767.625507440994,2503.065356300942,3300.139670278893,2642.6107414461985,3133.1955364453606,2884.809712970348,2780.800331855697,3660.2661455706425,1965.965163735724,2412.665134872587,ENSG00000077235
3492,ENSG00000278053.4,629.692280372586,494.4698020449447,510.09441616885834,584.3971297852472,591.1397419800481,543.5804459236123,511.96402795944647,961.906282851039,502.93733275152886,614.0565180507554,956.5831559336065,491.9343922137898,660.9057520457195,682.2388140811845,545.8219270650037,1005.8125259360303,656.5734879885066,1130.1500196698662,737.0623674399268,646.5189396738144,490.9525435154186,499.9456329028565,622.8816795893604,630.4798120537688,621.6671439530063,688.7823335049228,463.7930718806118,491.68026321363294,524.2491739987798,942.5279270939667,716.2648273151759,627.4721598194427,669.5813733886088,614.8388429624575,523.4557436165549,430.55149320654516,612.172481076453,564.5138157380009,532.8096849148901,633.748167861292,630.9286470417176,474.93926973992296,533.0199453398794,541.2761584621202,1014.1927175866192,554.5430699005643,570.7420303754093,534.1105258011926,530.0342877634217,823.6013673114328,474.6623845461805,531.0911549970244,555.850783815918,635.0906150297193,597.364050993544,463.23382199102736,1167.408295806428,986.2961640360788,511.77061533991235,545.4453097980078,499.68163667639715,519.3288455676878,573.5839635351083,893.1430595166545,454.1882892490847,625.2804580732127,578.8452511967413,573.8814037834089,429.56866215212614,1016.685581616532,616.9480761809724,494.9665687331784,519.0626999164022,1100.5011572079673,809.1949236608143,510.53696815154734,661.622190870955,598.4224398315737,647.1662832453861,480.50445383361915,670.748807907458,664.1154283173971,590.8383775274452,631.6304392873882,1062.2547164190505,674.6208611112833,526.3356422046235,598.3688678813849,760.1731953660693,535.8423821547658,615.2947428947137,499.45501192722696,541.8940262309621,639.9996261650581,601.5945960596465,505.3978055823522,ENSG00000278053
3523,ENSG00000134419.15,3016.450018662304,2378.4251644084457,7656.469961864109,4610.244023861394,3977.1470774300383,2329.13061938314,5912.537966166394,5616.376897294038,5243.7879212729795,3382.5603539052318,5184.33271371563,5713.260857767879,1907.194771984334,2347.777107792013,4244.941614167469,4050.221879673184,2530.2194583248265,1279.7821867828065,6732.49563830922,3628.110108192359,4580.436066792091,3290.5205994179937,6592.924198585772,3437.5183707303227,3295.120641344768,4552.133848158949,3494.373450998978,3502.643274228681,4922.542329158829,3040.4222198150433,3658.50371188664,4964.28940447352,2701.433347586146,4790.803556899333,3069.4054827601594,4896.076524810187,2970.941480923924,2370.252677238305,2250.5843886792554,3390.4599402118347,2892.40866405114,3628.6005420087654,4427.427288216671,2266.868856409757,3064.491395916466,8630.918125255876,4613.032655767447,2547.908713515304,7401.931447093043,3829.2597096298327,5080.082967272138,3698.660591194253,3891.1059552337183,3351.4212466166477,3407.520870558952,2868.775651138007,3497.2859770596,3633.778417250223,3228.8904343043737,3470.131494116499,3643.7685566789028,4031.7353808528296,3887.675194508363,2493.019098922757,4066.8804464727937,3437.7292234933843,4429.734527803214,3596.858041496311,5355.855300791928,4517.806772974273,2614.2983742281945,3041.3167370688375,2777.106871131332,4144.273704449441,7291.442931546079,3219.586647435944,5224.731374108568,2870.879705790282,4768.185391624907,3678.898591905931,2471.457596287882,3222.220811403285,3270.3448745023743,2258.7681177201384,2942.5557462027027,2270.9926317238933,4201.457896073642,2632.335251820947,2520.5366168967066,3159.145138331841,4457.789177205231,3464.1442948860936,2374.7483156362478,2669.62115909593,3100.847247967367,4304.242841220496,ENSG00000134419
3615,ENSG00000140988.15,4557.744002776537,7846.565743434909,12158.264465985127,8699.659614261305,7411.623961800504,5388.768556316958,12248.47388264223,2188.9104873087117,10155.46537286741,4782.802214458252,2104.25257196849,7645.984412169027,2004.1488995971936,6760.687757244242,8280.600270983814,2077.847967977585,4066.154616706993,2403.9266191914976,10552.629884943632,11139.760513438316,10352.501542432092,8903.17658224566,10984.661607441009,5863.144624585838,4658.053244581386,6101.326278703666,7441.348887412149,6126.151701964086,14049.321116057932,3999.157534040651,6195.517852383845,7419.165186247822,4673.867134009654,7702.371181914819,8099.072144907942,8793.904534415437,5678.126895958765,5259.436413990322,5787.290816945853,5353.391624758717,5257.190908401396,8128.5832290114,7796.497119816911,4812.573406544304,1924.1807716373808,10464.916879833008,6791.81555541241,6088.280310001784,11401.623733519122,2715.54160621074,10175.55610993687,9756.699758506247,6500.240163010087,7000.717603181068,5639.1431369200345,6945.544579741684,1936.6459008893398,3122.8989500246425,6217.89734066956,8383.397552730683,9061.807081641138,7808.8350931951245,8819.42001768029,2925.894617949343,10584.765249893377,6560.933012794597,10146.372192192901,9051.37389263554,11323.150009809497,2033.6125893418107,6066.786058952492,8635.001977184702,6665.977763287894,1924.9711098156529,3736.6487710990586,7214.1496720183095,12297.540840671936,7611.7247995588805,8935.734501779143,7287.080977284717,4514.822844376126,5727.671733847978,7587.292604443584,4040.1625898102557,1815.417919629369,3916.0939555699138,9019.396169506324,5728.243657537847,4311.983239935526,6579.99969034094,7511.794854242352,8155.078912316634,5756.411846290251,7231.257507102976,5079.668935302097,7585.8355766541135,ENSG00000140988
3627,ENSG00000135698.9,724.5046535989459,571.3389142888977,861.2143429630626,948.2010772907199,396.9844062409568,571.7946726046728,759.0603532905045,763.6277340148814,803.8457267023974,726.0812519228232,810.9811381901782,701.4278020304722,561.3776886359847,518.3038921131221,814.2762310910973,688.5009061586693,598.7762863515635,480.44698089400805,606.6620124331232,582.6883482566183,631.5801882257683,784.013627123344,1054.2322041657517,722.764649686369,734.0093144187857,634.3959040514384,606.1739648441908,832.7983345092455,668.1565902618229,384.9363305849233,617.3382218929518,765.9642329139407,656.9843314499234,906.1613155193904,696.7180108373998,706.9897047082443,941.2219707315172,520.0998231612651,468.74102917865014,615.8863914038141,774.0421978555067,925.9681310843026,654.836827872213,555.8968876380303,652.9137666866648,991.6725236333807,729.1435371828651,483.0701098427645,798.4678977038328,575.527261946743,765.2514597010223,468.38160985029435,806.5112794845849,532.618967130052,719.7955299349303,872.3194653976902,765.3930386509552,545.7304757194804,635.4457608158585,437.636276057478,423.4581756679122,644.346292229848,297.20136795122875,524.7792024940292,725.2103460301727,579.3046244624197,771.6482974987188,446.9278575941806,572.0382677288085,680.0168729694617,541.1266791392286,667.0658804397913,509.5534141024227,582.3176065862394,484.25585357605513,548.3041071663433,666.7075690202872,594.3796111110652,782.3609031279077,724.8510919182643,766.5992352352761,746.9020517312938,391.7163306482657,745.4083541411518,685.6087916932578,769.7800580936647,749.3373409474631,752.2820841448787,1009.2062710389371,747.8133646922321,686.9406880500247,699.2817108502792,548.2296996466905,629.4437304979463,927.4468427792824,1013.6875086533864,ENSG00000135698
3634,ENSG00000007520.3,865.1078729267799,1192.3122293046408,2631.076065009307,1425.4523380409264,1222.3187319518138,988.7914821263123,2486.8838048763478,229.01047843749043,1206.3653651211002,1007.8707830306216,392.2507869568296,2031.2722537049908,285.0584249393345,1015.2761943295044,1472.0365476959594,270.8221608637835,767.6124565171349,249.75376533033642,775.832090083883,1282.8522802358984,1299.3318760886375,1051.391374914896,1203.3888554851078,808.0163066471333,988.8493840610487,804.6377019078689,1485.2211139019025,1342.4999663335961,1754.744368330758,737.0903685094901,794.1515131390605,1031.9636207239384,796.2312701510699,997.897563141902,1230.7292887338126,1041.4345885449834,865.4364889608896,1201.2065784700749,1099.4425414155526,712.6758833565343,1017.9303023257448,986.1395833035173,1198.8929893750667,984.0572714181031,257.86824544948144,2504.958635241252,829.55552817542,1274.2670880959802,2281.6746744445463,287.4330670555128,1697.6874803058508,1510.4074334488178,1315.4158843454302,1053.541523864017,828.8820880697925,1084.6058760734215,226.1520567325609,268.61203593153505,1249.7136672461208,1374.5831255946082,1231.8675358892615,884.1869614658458,1758.1601253384783,317.8415796343512,1824.3213777869614,1080.82959143106,1088.193135244825,1337.004211967352,1909.67491068414,321.46530182560383,1022.5901630307166,1293.2478704541015,1218.2708756409183,212.4430713919445,375.5001304674165,1274.0887468379499,1441.6259355378936,1178.1913098413186,886.3263758432827,1143.036971874962,984.89315301666,842.8145184017299,1309.12861303717,709.6838163835315,212.92390740611512,811.3175314887467,1279.2118244629844,867.401680177864,773.8783571827043,1271.54799160954,1053.1432774684272,1056.594349571062,974.7799898560744,965.8627584499006,913.4842323767617,1466.5842990724707,ENSG00000007520
3647,ENSG00000178896.7,263.3475782772892,335.3011880632834,792.7118399007599,405.3819678555034,319.13089550042486,324.7391411520427,607.0831623607462,94.18853803853277,432.5230193987243,311.8137537537492,92.71031487393492,648.9498505406203,87.75822642758455,297.28164624335136,416.80802529955736,107.06353803902752,272.8427232981531,104.88631273038202,210.9009321957644,408.8234504260552,493.01149492903465,287.1021954302608,360.7000741557354,288.0568247850925,320.01729848667253,252.93222665597102,432.0727356380802,406.11628665628547,496.4928982064652,295.3271589494606,264.9623026909033,376.3863133402114,220.35498151475474,253.86465845534144,412.77062215142763,360.3971666563849,279.7713855492473,351.6829294882321,318.6934578934602,244.88285586276243,300.3450387482732,321.2656316577747,287.67605502548105,335.13874265570735,95.27497024612276,754.1998046587516,307.57569635580916,371.7617072877548,832.370231907179,116.56248343225174,549.2834486506289,437.71708385986665,446.1592310651229,306.4712375045615,297.08831870687317,288.6700702025838,104.70860612463896,115.5550295562601,326.83277180042285,457.16203213078325,313.3006760868615,246.69962852201252,281.0583191627996,102.75930159553991,610.0134718338412,287.86139814749953,318.78033582593565,308.768571674496,589.9024347532552,86.10864545293775,384.7002854234241,460.54326664145935,309.22248934805526,69.62493122226776,125.5164033787323,336.54259625778735,420.78321885892683,442.35720652297096,251.85381525670863,371.67171988760145,333.9975333891358,282.14374384559966,282.21834842087605,248.09359681886917,82.48494292998356,304.7091252009567,405.06605932274994,252.8096009863951,262.17033918715856,422.4349695612874,271.0462805337654,393.68009925640234,360.78169017220927,284.51308642730146,293.26387502245734,461.9774500927195,ENSG00000178896
