H_1106_BA9_mRNASeq,H_1104_CAP_mRNASeq,H_1105_BA9_mRNASeq,H_1105_CAP_mRNASeq,H_1104_BA9_mRNASeq
149.0,97.0,440.0,163.0,750.0
33492.0,32018.0,52511.0,22051.0,72196.0
3.0,5.0,53.0,9.0,22.0
2069.0,1914.0,7718.0,2214.0,11416.0
27902.0,11747.0,22561.0,20605.0,33690.0
3.0,5.0,14.0,6.0,8.0
5793.0,4985.0,7373.0,4532.0,23043.0
75333.0,63620.0,107442.0,51338.0,146644.0
433456.0,281565.0,242969.0,244148.0,404151.0
8821.22,11312.7,119632.0,10712.3,153968.0
4.0,9.0,30.0,9.0,34.0
23.0,51.0,30.0,34.0,29.0
13.0,21.0,62.0,18.0,23.0
160.942,322.997,297.0420000000001,96.1474,313.951
943.974,340.995,244.443,631.49,181.499
2611.31,48.1981,733.0010000000002,2025.71,4.00265
73.6125,72.0903,3.00087,55.9399,1.00558
331.319,50.4898,60.0,401.194,1.0
123.527,4.52819,70.5766,116.926,4.29794e-07
2312.26,63.5713,259.568,1925.52,2.01687
52.0,148.0,10.0,61.0,5.0
307.123,67.5928,97.4848,229.677,5.07979
3619.77,51.6368,95.182,1153.18,2.20593
17.4221,21.7197,4.0,34.4466,1.0
239.996,263.988,437.862,636.495,208.988
1485.98,1464.98,3086.71,1930.97,1709.69
144.231,113.938,90.6379,298.372,58.774
272.999,285.499,416.483,240.998,382.972
458.192,357.781,160.496,266.085,127.296
944.027,341.005,244.556,631.511,181.501
889.5,649.366,88.9519,700.0930000000002,106.432
83.9708,109.304,22.0,79.1024,11.0
2449.0,881.0,992.0,1871.0,582.0
943.29,911.015,207.846,848.507,153.0
72.1073,87.6494,63.1099,124.599,54.9969
102.893,90.3506,95.8901,109.401,76.0031
1748.66,1306.02,755.0010000000002,1974.79,642.984
133.683,170.185,46.0,180.935,37.0
13.7879,20.2524,3.0,6.13692,4.0
423.0,352.0,604.001,382.0,383.0
5.0,4.0,8.0,10.0,8.0
128.0,81.9999,243.0,178.0,143.0
293.0,152.0,663.0,277.0,423.0
730.0,611.0,1366.0,620.0,958.0
12226.0,6000.0,15908.0,9088.0,8806.0
3195.86,1577.39,5196.19,2394.66,2669.34
212.9,313.6690000000001,366.415,490.852,236.117
68.7428,40.2403,20.6795,77.3605,20.2919
3328.36,3940.07,1215.0,3165.98,1105.03
841.4010000000002,809.554,898.938,783.457,612.559
82.0,51.0,76.0,64.0,55.0
116.458,152.29399999999995,351.075,132.974,270.332
838.7260000000001,554.415,932.184,1082.71,509.007
863.0,670.0,1217.95,1116.0,785.993
740.41,569.5740000000002,1266.52,941.212,886.4060000000002
77.0,54.0,60.0,101.0,15.0
292.0,160.0,631.0,299.921,325.0
951.0,730.0,483.0,1097.0,262.0
426.612,201.0,1820.0,311.0,734.0
1512.0,475.0,2226.0,567.0,1062.0
327.0,100.0,467.0,365.0,189.0
465.0,233.0,276.0,431.0,193.0
9.0,2.0,6.0,10.8555,13.0
65.0,52.0,80.0,197.0,65.0
1354.31,246.27,713.0,361.312,485.0
826.674,777.654,380.894,675.3919999999998,299.4790000000001
3271.6,1417.8,837.054,2419.99,623.512
1418.0,1221.0,559.0,1365.0,472.0
68.8117,205.0,26.8804,67.0,38.8308
580.27,613.932,284.002,415.017,228.0
29.4375,42.298,1.01209,18.16,4.06163
858.3969999999998,2234.54,179.0,682.7689999999999,186.471
842.2489999999998,1284.6,162.069,601.873,170.975
50.0,41.0,50.0,50.0,16.0
449.0,899.0010000000002,55.0,989.0,71.0
104.89,233.96400000000003,23.6746,173.53599999999997,27.3434
285.329,360.79,51.9299,266.334,48.7523
135.724,178.575,31.7463,230.669,25.0366
14.0,43.0,1.0,20.0,4.0
576.0,211.0,131.0,506.0,79.9999
782.052,454.065,147.0,541.0,93.0
921.0,249.0,1141.58,502.453,386.0
177.0,289.0,672.081,235.0,425.777
2469.0,1500.0,5198.87,2126.0,2851.9
125.0,182.0,130.053,219.0,98.3305
58.0,63.0,62.0,104.0,49.0
277.105,151.0,133.0,275.496,84.0
45.0499,34.2638,2.17628,27.3311,1.17424
12.0,7.0,9.0,5.0,8.0
22.0,22.0,20.0,17.0,13.0
16.0,46.0,2.0,13.0,3.0
171.66400000000004,177.333,15.0,118.15,14.0
327.0,289.0,153.0,380.0,188.0
617.0,1047.0,269.0,2082.0,125.0
58.0001,15.0,44.0,80.0,9.0
400.895,415.66,131.0,495.175,106.226
561.0,346.0,313.0,518.0,180.0
905.547,511.172,450.0,961.177,325.004
638.747,382.061,384.936,612.248,233.18400000000003
26.0,44.0,39.0,94.0,9.0
510.345,363.236,201.078,544.095,143.5
36.0,21.0,19.0,82.0,6.0
402.0,184.0,209.0,441.0,118.0
134.128,100.729,3.11354,72.4919,4.022469999999998
87.0,73.0,55.0,101.0,36.0
4424.13,3612.93,482.217,3878.24,728.5139999999999
3801.99,2848.54,689.5110000000002,3327.17,556.893
155.72299999999996,139.08,12.3252,120.683,10.4581
3421.0,4006.0,740.0,4052.0,716.0
154.425,165.15599999999995,17.5626,116.294,19.3782
25.9727,21.6266,2.0,16.9888,2.00408
1042.94,849.3789999999998,307.634,1012.18,249.834
1394.02,925.126,860.0,1550.0,515.0
733.176,495.653,314.396,902.995,178.262
2527.0,945.0,2086.81,2520.0,1111.96
4242.0,1594.0,3396.0,4271.0,1939.0
28.9339,25.2719,4.00117,24.6005,3.0
158.0,453.0,23.0,440.001,34.9999
916.0,728.0,827.0,1256.0,426.0
11.0,2.0,3.0,9.0,2.0
1493.57,1570.0,268.0,1884.08,221.0
340.0,1720.0,72.0,2892.0,71.0
539.409,869.561,22.0,609.715,28.0
95.1831,93.8054,14.0141,91.8776,6.2963
91.9999,175.0,24.0,308.0,10.0
32.7049,46.0713,2.13348,18.8251,0.0589721
1189.51,1012.5,170.74599999999995,949.913,119.521
718.0010000000002,1298.0,190.0,1382.0,215.0
5917.0,1704.0,1174.0,3515.0,909.0
22.0,8.0,12.0,33.0,5.0
21.0,24.0,7.0,15.0,8.0
37.0952,43.5671,17.2984,52.3065,17.3474
2864.0,1126.0,584.0,1386.0,290.0
321.0,317.0,93.0001,342.0,75.0
1786.56,842.1669999999998,731.0,1571.62,577.0
42.0,232.0,5.0,133.0,6.0
162.186,204.538,48.0,145.009,31.2467
1948.0,1829.0,1864.0,2065.0,2605.0
324.656,343.4790000000001,126.0,306.1620000000001,113.0
16.0855,17.0,3.0,23.0,3.99999
810.107,722.597,33.1883,470.362,82.43799999999997
1018.37,1051.54,60.1104,765.705,73.4195
17.0537,16.0198,2.0,13.0131,1.0
1211.0,965.0,745.0,1313.0,605.0
244.0,58.0,13.0,69.0,3.0
182.0,159.0,109.0,189.0,173.0
9.0,14.0,19.0,5.0,16.0
36.0,45.3863,2.64849,27.4547,1.0
1148.0,1069.0,315.0,1266.0,342.0
4.0,21.0,16.0,12.0,4.0
14.0,125.0,11.0,61.0,6.0
1217.29,496.22,834.8739999999998,867.732,675.9889999999998
1522.79,825.7810000000002,1810.65,1586.65,1200.35
3790.54,1778.0,2392.5,3646.44,1525.28
217.596,1025.97,22.7824,355.654,17.0
2900.0,579.0,1832.0,2354.0,1088.0
5317.0,2324.0,4359.0,5366.0,2666.0
22.1588,27.8164,6.0,15.0,2.0
2235.0,309.0,1654.0,1496.0,666.0
1714.0,1659.0,774.0,1394.0,763.0010000000002
168.0,66.0,7.0,138.0,6.0
5737.37,2236.07,1976.0,5284.91,1346.75
92.0,112.0,60.0001,138.001,34.0
9.0,60.0,5.0,28.0,2.0
34.0,31.0,11.0,35.0,13.0
77.0,59.0,4.0,179.0,12.0
1164.03,3235.21,92.5337,2325.3,164.097
110.0,88.0,4.0,113.126,5.0
9751.74,3954.47,1623.84,5312.48,1091.65
165.535,171.111,151.675,209.578,139.0
2140.41,2578.55,108.0,2278.62,149.05700000000004
179.419,218.815,14.0,177.68400000000003,7.0
1801.0,480.0,971.0,1677.0,451.999
62.6788,64.6801,4.00413,48.1352,10.0
507.737,541.117,20.5734,379.06,21.6095
1507.0,1112.0,642.0,1617.0,418.979
12612.7,8364.71,905.0,8831.86,1059.0
1.0,3.0,12.0,10.0,3.0
30.0,6.0,5.0,15.0,4.0
2318.0,1893.0,1182.0,2130.0,787.0
257.0,193.0,164.0,317.0,104.0
1583.62,878.779,90.5487,701.961,68.5412
2967.53,2013.29,288.0,2067.19,186.0
2546.31,2215.74,52.2944,1175.67,105.317
261.372,317.6670000000001,1.30535,103.526,12.3425
208.0,330.0,28.0,127.0,61.0
75.1539,137.22799999999998,2.0,93.2228,4.5423300000000015
2086.09,2777.46,109.074,1960.54,199.999
60.2638,33.7904,20.0279,46.2379,11.7572
34.1159,64.2212,36.5783,42.582,28.0593
149.496,242.603,427.422,237.319,270.941
762.28,1056.51,44.0,842.2819999999998,100.0
856.903,498.902,253.0,488.527,288.001
4020.99,4620.0,5539.0,9293.99,3940.0
61.6536,58.0088,6.0,54.5656,1.0
675.0,294.0,255.0,655.9989999999998,175.0
9509.02,13420.0,1854.0,7934.02,2879.0
2410.38,2030.33,331.6090000000001,2476.69,306.134
28.7359,8.64575,8.64278,27.0949,8.249410000000001
27.0,10.0,40.0,19.0,26.0
106.54,129.359,61.021,224.25,72.0251
85.0,86.0,26.0,68.0,24.0
34.0,28.0,1.0,31.0,1.0
58.5189,68.683,4.18182,42.2539,1.06394
1100.0,776.0010000000002,657.0,1026.0,510.0
105.004,124.845,26.0161,69.3313,23.0
97.0773,100.953,258.0,175.165,122.0
273.996,369.262,170.13,284.895,143.01
2448.66,1916.86,453.381,2257.11,468.101
954.0,1096.0,829.0,843.0,648.0
872.443,1082.0,211.087,810.2539999999998,272.46
471.141,301.334,163.0,234.044,168.0
56.0001,72.0,4.0,76.0,6.0
346.0,253.0,66.0,266.0,38.0
376.887,385.617,34.144,360.562,28.4245
2431.0,2846.0,1573.0,2825.0,1494.0
72.1431,55.4397,11.8903,55.3678,4.0
243.0,166.0,65.0,299.0,39.0
156.045,141.488,165.095,165.32299999999995,102.605
3832.0,1435.0,2808.52,3052.76,1409.69
489.0,586.0,314.0,402.0,226.0
1584.58,1690.02,238.846,2005.04,188.163
15188.2,17924.0,2245.0,13957.0,2325.0
2306.08,3132.69,1240.0,1913.34,1253.0
29.7921,50.9915,1.0,20.746,3.0
428.88,575.016,9.90383,384.606,14.0679
90.2496,53.722,8.0,47.4712,5.0
14.0,46.1154,8.50867,63.4861,10.9525
974.551,635.386,828.778,1313.99,651.053
28.0,41.0,3.0,38.0,4.0
44.0,42.0,2.0,61.0,2.0
427.449,220.614,498.222,454.005,280.947
