gene_id,H_0689_BA9_mRNASeq,H_0709_BA9_mRNASeq,C_0074_BA9_mRNASeq,C_0107_BA9_mRNASeq,H_1106_BA9_mRNASeq,H_0821_BA9_mRNASeq,H_0723_BA9_mRNASeq,C_0103_BA9_mRNASeq,C_0113_CAP_mRNASeq,H_0513_BA9_mRNASeq,C_0106_BA9_mRNASeq,H_1104_CAP_mRNASeq,C_0114_CAP_mRNASeq,H_1105_BA9_mRNASeq,H_0656_BA9_mRNASeq,C_0054_BA9_mRNASeq,H_0802_BA9_mRNASeq,H_1105_CAP_mRNASeq,H_0791_BA9_mRNASeq,H_1104_BA9_mRNASeq,H_0601_BA9_mRNASeq
ENSG00000210196.2,3373.0,663.0,90.0,73.0,149.0,92.0,656.0,143.0,84.0,3194.94,67.0,97.0,106.0,440.0,1326.88,110.0,132.0,163.0,112.0,750.0,783.0
ENSG00000198727.2,276465.0,74789.0,26649.0,34218.0,33492.0,27408.0,57829.0,46635.0,53649.0,450050.0,15626.0,32018.0,81459.0,52511.0,172457.0,35963.0,29785.0,22051.0,21948.0,72196.0,91721.0
ENSG00000210194.1,218.0,74.0,8.0,6.0,3.0,1.0,57.0,19.0,5.0,225.142,6.0,5.0,12.0,53.0,179.0,12.0,9.0,9.0,4.0,22.0,44.0
ENSG00000198695.2,96923.7,31763.0,4306.0,1378.0,2069.0,927.999,17951.0,5940.0,3492.0,62666.6,1654.0,1914.0,3642.0,7718.0,26721.0,3399.0,2954.0,2214.0,1892.0,11416.0,12186.0
ENSG00000198786.2,213268.0,40607.0,24132.0,33047.0,27902.0,23068.0,39714.0,29545.0,32988.0,176028.0,9838.0,11747.0,57612.0,22561.0,77417.0,27775.0,23401.0,20605.0,13108.0,33690.0,41335.0
ENSG00000212907.2,69524.0,9139.0,6454.0,6421.0,5793.0,4502.0,16479.0,6786.0,8908.0,66024.0,2772.0,4985.0,13496.0,7373.0,28403.0,7209.0,4641.0,4532.0,3086.0,23043.0,28874.0
ENSG00000198712.1,338902.0,163889.0,91707.0,51326.0,75333.0,31717.0,164030.0,106026.0,82470.0,1017130.0,33233.0,63620.0,112828.0,107442.0,319893.0,78427.0,64503.0,51338.0,54628.0,146644.0,173041.0
ENSG00000198804.2,1386700.0,399359.0,423363.0,370212.0,433456.0,265134.0,447674.0,445686.0,393844.0,2685220.0,167218.0,281565.0,646261.0,242969.0,879025.0,444502.0,344298.0,244148.0,242560.0,404151.0,449996.0
ENSG00000198763.3,380082.0,136347.0,10433.7,11936.4,8821.22,7593.78,128503.0,14208.3,15881.7,799791.0,6326.44,11312.7,27804.6,119632.0,303770.0,10151.4,9126.21,10712.3,6285.2,153968.0,150382.0
ENSG00000210112.1,135.0,73.2299,4.0,4.0,4.0,7.0,34.0,6.0,10.0,198.0,2.0,9.0,9.0,30.0,136.0,4.0,3.0,9.0,7.0,34.0,36.0
ENSG00000210107.1,515.732,384.578,7.0,7.0,3.0,7.0,144.054,3.0,1.0,1307.45,7.0,3.0,4.0,165.0,594.342,3.0,4.0,2.0,2.0,146.386,187.812
ENSG00000210077.1,69.0,35.0,41.0,9.0,23.0,9.0,35.0,65.0,36.0,219.0,47.0,51.0,43.0,30.0,116.0,60.0,74.0,34.0,44.0,29.0,21.0
ENSG00000210049.1,61.0,36.0,24.0,8.0,13.0,9.0,59.0,26.0,21.0,429.0,8.0,21.0,18.0,62.0,196.0,26.0,10.0,18.0,11.0,23.0,42.0
ENSG00000182484.15_PAR_Y,282.509,493.212,168.187,451.413,160.942,450.777,437.657,289.585,281.728,1676.05,245.145,322.997,481.629,297.0420000000001,372.187,218.03,361.269,96.1474,283.045,313.951,371.517
ENSG00000124333.15_PAR_Y,169.981,143.515,851.995,600.0169999999998,943.974,323.498,258.494,484.0,473.494,954.017,422.49300000000005,340.995,513.498,244.443,197.985,947.493,671.495,631.49,566.553,181.499,340.525
ENSG00000012817.15,1.0,611.999,1990.74,37.1501,2611.31,58.194,1078.0,2643.17,2390.84,3227.0,48.223,48.1981,38.0994,733.0010000000002,745.033,23.2473,68.6258,2025.71,72.5915,4.00265,4.00591
ENSG00000215580.10,3.03304,8.23274,49.65600000000001,94.7889,73.6125,58.776,7.04818,60.1894,80.8695,22.2356,57.3045,72.0903,57.687,3.00087,8.0,50.1227,83.4756,55.9399,91.4072,1.00558,4.04197
ENSG00000176728.7,2.33483,73.3074,340.44699999999995,42.1733,331.319,32.3352,76.8463,408.203,414.4980000000001,375.0,19.1103,50.4898,34.3388,60.0,71.0,20.8139,37.7848,401.194,20.3977,1.0,3.0
ENSG00000235193.1,5.0,5.0,43.0,126.0,52.0,167.0,12.0,156.0,73.0,19.0,89.0,148.0,118.0,10.0,6.0,33.0,72.0,61.0,105.0,5.0,21.0
ENSG00000099725.14,1.01904,135.28799999999998,187.07,92.2701,307.123,104.012,163.534,314.719,197.096,415.823,71.8312,67.5928,76.5671,97.4848,92.8606,63.3233,105.741,229.677,73.5593,5.07979,7.13638
ENSG00000002586.18_PAR_Y,201.972,599.085,143.999,169.99900000000005,239.996,258.498,1195.52,187.998,413.9980000000001,2380.49,144.498,263.988,358.0030000000001,437.862,452.005,168.0,180.495,636.495,134.998,208.988,197.055
ENSG00000169100.13_PAR_Y,963.929,2803.45,1891.49,1551.95,1485.98,1355.0,2853.45,1584.49,1719.98,11779.5,1090.49,1464.98,1835.49,3086.71,2348.62,1672.98,1198.49,1930.97,1335.98,1709.69,2146.43
ENSG00000198223.16_PAR_Y,8.016060000000001,5.57563,118.148,114.536,144.231,104.495,39.058,141.92600000000004,135.846,177.692,119.459,113.938,150.575,90.6379,22.5646,127.816,154.461,298.372,134.474,58.774,27.1447
ENSG00000178605.13_PAR_Y,266.97900000000004,493.96,245.496,282.499,272.999,403.5,598.9780000000002,353.4980000000001,307.499,1908.64,196.992,285.499,310.0,416.483,522.4630000000002,175.997,205.0,240.998,280.499,382.972,437.491
ENSG00000182378.13_PAR_Y,84.4895,359.16,554.654,295.247,458.192,282.338,203.986,648.03,447.437,693.153,366.086,357.781,541.44,160.496,220.322,366.215,400.846,266.085,430.667,127.296,181.21400000000003
ENSG00000124333.15,170.019,143.485,852.005,599.9830000000002,944.027,323.502,258.506,484.0,473.506,953.983,422.507,341.005,513.502,244.556,198.014,947.507,671.5060000000002,631.511,566.447,181.501,340.475
ENSG00000185973.10,90.3084,82.8352,557.075,814.966,889.5,600.685,177.669,618.544,768.056,486.556,636.632,649.366,714.783,88.9519,108.0,839.579,736.0089999999999,700.0930000000002,760.987,106.432,193.165
ENSG00000224533.4,12.0,30.0,81.9097,115.408,83.9708,154.506,32.0003,97.1756,105.071,75.2341,109.631,109.304,128.466,22.0,22.0,92.3622,116.138,79.1024,108.823,11.0,17.7199
ENSG00000155959.10,417.0,788.0,2306.0,1661.0,2449.0,666.0,1087.0,1369.0,1503.0,3990.0,1287.0,881.0,1166.0,992.0,776.0,2852.0,1943.0,1871.0,1694.0,582.0,1082.0
ENSG00000185515.14,122.0,133.207,906.112,1081.54,943.29,775.176,250.18400000000003,822.052,1031.41,893.0,1039.05,911.015,1039.46,207.846,180.0,1031.65,1102.64,848.507,1117.31,153.0,300.966
ENSG00000214827.9,40.6641,71.2362,59.0641,107.012,72.1073,57.6567,67.259,81.7563,83.8236,283.006,80.3002,87.6494,98.269,63.1099,69.7783,83.6695,83.1353,124.599,96.6584,54.9969,62.7696
ENSG00000182712.15,100.336,120.764,101.936,113.988,102.893,69.3432,155.741,78.2437,92.1765,598.994,76.6998,90.3506,114.731,95.8901,166.222,123.331,89.8648,109.401,99.3416,76.0031,103.23
ENSG00000165775.17,495.195,898.053,1615.04,1378.95,1748.66,806.568,840.0010000000002,1263.74,1629.32,3500.31,1299.64,1306.02,1266.32,755.0010000000002,790.0,2099.75,1632.49,1974.79,1922.47,642.984,745.8810000000002
ENSG00000160219.11,63.0,25.0,98.6963,109.458,133.683,171.898,50.0,104.821,111.744,210.0,117.389,170.185,253.402,46.0,32.0,128.862,154.612,180.935,110.998,37.0,67.0945
