gene_id,H_1106_BA9_mRNASeq,H_1104_CAP_mRNASeq,H_1105_BA9_mRNASeq,H_1105_CAP_mRNASeq,H_1104_BA9_mRNASeq
ENSG00000210196.2,149.0,97.0,440.0,163.0,750.0
ENSG00000198727.2,33492.0,32018.0,52511.0,22051.0,72196.0
ENSG00000210194.1,3.0,5.0,53.0,9.0,22.0
ENSG00000198695.2,2069.0,1914.0,7718.0,2214.0,11416.0
ENSG00000198786.2,27902.0,11747.0,22561.0,20605.0,33690.0
ENSG00000210176.1,3.0,5.0,14.0,6.0,8.0
ENSG00000212907.2,5793.0,4985.0,7373.0,4532.0,23043.0
ENSG00000198712.1,75333.0,63620.0,107442.0,51338.0,146644.0
ENSG00000198804.2,433456.0,281565.0,242969.0,244148.0,404151.0
ENSG00000198763.3,8821.22,11312.7,119632.0,10712.3,153968.0
ENSG00000210112.1,4.0,9.0,30.0,9.0,34.0
ENSG00000210077.1,23.0,51.0,30.0,34.0,29.0
ENSG00000210049.1,13.0,21.0,62.0,18.0,23.0
ENSG00000182484.15_PAR_Y,160.942,322.997,297.0420000000001,96.1474,313.951
ENSG00000124333.15_PAR_Y,943.974,340.995,244.443,631.49,181.499
ENSG00000012817.15,2611.31,48.1981,733.0010000000002,2025.71,4.00265
ENSG00000215580.10,73.6125,72.0903,3.00087,55.9399,1.00558
ENSG00000176728.7,331.319,50.4898,60.0,401.194,1.0
ENSG00000169953.11,123.527,4.52819,70.5766,116.926,4.29794e-07
ENSG00000165246.12,2312.26,63.5713,259.568,1925.52,2.01687
ENSG00000235193.1,52.0,148.0,10.0,61.0,5.0
ENSG00000099725.14,307.123,67.5928,97.4848,229.677,5.07979
ENSG00000099715.14,3619.77,51.6368,95.182,1153.18,2.20593
ENSG00000277930.1,17.4221,21.7197,4.0,34.4466,1.0
ENSG00000002586.18_PAR_Y,239.996,263.988,437.862,636.495,208.988
ENSG00000169100.13_PAR_Y,1485.98,1464.98,3086.71,1930.97,1709.69
ENSG00000198223.16_PAR_Y,144.231,113.938,90.6379,298.372,58.774
ENSG00000178605.13_PAR_Y,272.999,285.499,416.483,240.998,382.972
ENSG00000182378.13_PAR_Y,458.192,357.781,160.496,266.085,127.296
ENSG00000124333.15,944.027,341.005,244.556,631.511,181.501
ENSG00000185973.10,889.5,649.366,88.9519,700.0930000000002,106.432
ENSG00000224533.4,83.9708,109.304,22.0,79.1024,11.0
ENSG00000155959.10,2449.0,881.0,992.0,1871.0,582.0
ENSG00000185515.14,943.29,911.015,207.846,848.507,153.0
