	int__beta	int__p	int__padj	Subject.death__beta	Subject.death__p	Subject.death__padj	counts__beta	counts__p	counts__padj
ENSG00000270726.6_PAR_Y	2.387360694978677	1.0	1.0	-0.025781158138679424	0.18103235577337495	0.19163112548474687	-0.017589941528429832	0.37066021415647765	1.0
ENSG00000228786.5	1.2947417031824644	0.1902500265050887	0.9203160407886041	-0.036135958913986486	0.03804170847996069	0.08284389988477306	0.021626431672125662	1.0	1.0
ENSG00000244231.1	2.680579615085437	1.0	1.0	-0.041961486835700335	0.051017278523034504	0.08284389988477306	-0.005619985654806838	1.0	1.0
ENSG00000229236.1	1.8788335977413062	0.07971795617284627	0.7528537588398807	-0.03570549042266215	0.012981316824207889	0.08284389988477306	0.008633196485384194	1.0	1.0
ENSG00000260197.1	3.0931992234848993	1.0	1.0	-0.03793974247437141	0.04623439599856605	0.08284389988477306	-0.00929683477724732	1.0	1.0
ENSG00000176728.7	2.631640428707584	0.13959818671453939	0.9142397795271008	-0.04330380917478708	0.022907726698468966	0.08284389988477306	-0.0011825102295484685	0.36294455580347973	1.0
ENSG00000251510.1	3.4204741869014037	1.0	1.0	-0.04393706967992301	0.04343025690972846	0.08284389988477306	-0.008538399608098643	1.0	1.0
ENSG00000230663.1	3.480514743564157	1.0	1.0	-0.04779946425424603	0.062041111180635156	0.08484339092343815	-0.01790706507651881	1.0	1.0
ENSG00000278847.1	2.308809965509751	1.0	1.0	-0.04212104551830593	0.02557000762331396	0.08284389988477306	0.003424464583566982	0.3241401254430766	0.9778286501340622
ENSG00000226179.6_PAR_Y	2.4247485749320887	1.0	1.0	-0.03580932479841117	0.05802256527632488	0.08329092613705355	-0.0041673011973219825	1.0	1.0
ENSG00000270726.6	2.387181971845299	1.0	1.0	-0.025776960555793708	0.18103599608988374	0.19163112548474687	-0.01759417215510294	0.37115446655474926	1.0
ENSG00000224533.4	1.1829581584111886	1.0	1.0	-0.04200311078345461	0.05198557237014123	0.08284389988477306	0.02185025074115558	0.13866746048176049	0.5539759064043549
ENSG00000272681.2	2.487399997720152	0.27556432986993773	0.9203160407886041	-0.04097556072449125	0.08115698039847585	0.0985246593185692	-0.014610899805396425	0.41026231954608294	1.0
ENSG00000261773.1	2.2275276177426813	1.0	1.0	-0.05119572094124997	0.00982734535175267	0.08284389988477306	0.055932606474757604	0.010977478836219023	0.10765263659896404
ENSG00000280195.1	2.218972288686616	0.015077873815802167	0.359493158300346	-0.041701657734433455	0.03290337306347302	0.08284389988477306	0.0036719559145862346	1.0	1.0
ENSG00000273769.5	1.8599253534941906	0.3115498133460889	0.9238607699518385	-0.03876368582891366	0.04254019451195623	0.08284389988477306	0.014622294757867211	1.0	1.0
ENSG00000260081.1	1.386114614160788	1.0	1.0	-0.04314771447432378	0.03476066304911196	0.08284389988477306	0.01645383357894726	0.048759978735658405	0.2766092300194138
ENSG00000236337.1	1.873348176909481	0.17996925647686957	0.9203160407886041	-0.03963043275285285	0.04577492815769402	0.08284389988477306	0.014403343944805944	1.0	1.0
ENSG00000268066.5	1.9521281408289932	0.3589459164067593	0.9468616079151206	-0.03848731617999107	0.04169867610858358	0.08284389988477306	0.015552109802588313	1.0	1.0
ENSG00000281508.1	2.450274331658917	1.0	1.0	-0.04506450502168105	0.07821226789953428	0.09615486241527897	5.283563825231949e-05	1.0	1.0
ENSG00000203930.10	2.0121572909675076	0.27436522219077164	0.9203160407886041	-0.042225247640174504	0.050263572521582534	0.08284389988477306	0.0008448363882706078	1.0	1.0
ENSG00000232611.1	1.720839474518912	0.24524269176636593	0.9203160407886041	-0.04057689881396728	0.05153945251287462	0.08284389988477306	0.003345425077287073	1.0	1.0
ENSG00000235813.1	1.867217511206231	0.2367066571706361	0.9203160407886041	-0.03830354213278279	0.03850234813660447	0.08284389988477306	0.014096994620485965	1.0	1.0
ENSG00000227060.6	2.050406620757467	1.0	1.0	-0.041529317332038115	0.04950281861097516	0.08284389988477306	0.020531725668070842	0.20462133569806873	0.7212528231951871
ENSG00000223749.8	1.6001147258303021	1.0	1.0	-0.045651940543262985	0.0325905425698888	0.08284389988477306	0.03477336661918707	0.0077334087558526	0.08636572412288641
ENSG00000235189.1	2.048847728593513	0.4636593891180876	1.0	-0.046869836347297265	0.14534969391864228	0.157352853117161	0.03270889441324297	1.0	1.0
ENSG00000260683.1	1.8446285453077669	0.26084363501395913	0.9203160407886041	-0.037471190379584685	0.037557766806099235	0.08284389988477306	0.007688148413325675	1.0	1.0
ENSG00000280223.1	1.7795829159331935	0.2313977433921689	0.9203160407886041	-0.036795856833284596	0.03591939294177238	0.08284389988477306	0.008698654732167138	1.0	1.0
ENSG00000260585.1	1.9213899201905194	0.3553884603004699	0.943423717969978	-0.03698377947431399	0.041962783448406205	0.08284389988477306	0.0072754089263273565	1.0	1.0
ENSG00000203650.8	2.21787790618531	1.0	1.0	-0.04386880099622772	0.3036991295769934	0.3123750910270559	0.005914932018183694	1.0	1.0
ENSG00000235244.3	1.865551486490137	0.2886683831292338	0.9203160407886041	-0.03801084856447141	0.03611081485121548	0.08284389988477306	0.0019787354757097534	1.0	1.0
ENSG00000271826.5	1.8558843248051415	0.303367846742592	0.9222512637897999	-0.040490025684966915	0.06215142146790531	0.08487710460664485	0.012174929993144347	1.0	1.0
ENSG00000229487.1	1.8514918915019392	0.16513678302807588	0.9203160407886041	-0.03798291521471032	0.03066284074671366	0.08284389988477306	0.01993110824601421	1.0	1.0
ENSG00000237863.2	2.293365773302385	1.0	1.0	-0.04582873342901035	0.013324980647702045	0.08284389988477306	0.010930121854106984	0.04864763105100589	0.2761072092331055
ENSG00000261409.1	1.5459846541609616	1.0	1.0	-0.04555404134905004	0.012883247758660121	0.08284389988477306	0.016572928889837683	0.0017967196940921193	0.03531057524441991
ENSG00000236064.1	3.037111798399316	0.007138819647123595	0.26026899787489505	-0.045091199012716576	0.00487080839696874	0.08284389988477306	-0.004731418992749158	0.057678388788801827	0.30860004133338365
ENSG00000231728.3	2.0523785404715844	0.19484974499063867	0.9203160407886041	-0.038838169429759255	0.029889532320995782	0.08284389988477306	0.01144813971800729	1.0	1.0
ENSG00000234405.1	2.3579799156620997	0.34167792638398187	0.9341753066774396	-0.04558720903056054	0.19572402124467814	0.20595458460231553	0.01818101154837796	1.0	1.0
ENSG00000239407.5	1.821044210113788	0.18607028935776793	0.9203160407886041	-0.036311047739993815	0.0276569105662684	0.08284389988477306	0.004632385509024735	1.0	1.0
ENSG00000261101.2	1.7179907800207093	0.13863084694134453	0.9133197667770737	-0.03515019170799956	0.024262221615618418	0.08284389988477306	0.008222948562854314	1.0	1.0
ENSG00000228275.1	1.003767582466066	0.6866447606842857	1.0	-0.04840078646128309	0.047815275831169735	0.08284389988477306	0.10928749172808915	1.0	1.0
ENSG00000226854.1	1.959148020177027	0.3640020787506807	0.9505378854310945	-0.038572833294026734	0.04061244638188377	0.08284389988477306	0.0058958159504174405	1.0	1.0
ENSG00000271533.1	1.990086993551277	0.19838254885162743	0.9203160407886041	-0.03840330037337917	0.0301914247174363	0.08284389988477306	0.00023139218894416465	1.0	1.0
ENSG00000270223.1	1.7403974151804855	0.25147287298489795	0.9203160407886041	-0.041448208860030124	0.059867673351924555	0.08390312753872327	0.004677841499133265	1.0	1.0
ENSG00000271199.1	1.9728518558446975	0.28663077858685115	0.9203160407886041	-0.03857147327461353	0.034046039313125	0.08284389988477306	0.019334694177785158	1.0	1.0
ENSG00000228906.1	1.8128564247490442	0.22893328099000587	0.9203160407886041	-0.038143742459889114	0.03375124434414112	0.08284389988477306	0.016012191447965726	1.0	1.0
ENSG00000270641.1	1.8709316254553883	0.3089441583639585	0.9238607699518385	-0.03957310422268259	0.04844486453719821	0.08284389988477306	0.0005021490145569251	1.0	1.0
ENSG00000228427.1	1.4278544897935692	0.1374978239338882	0.9120951638663168	-0.03706490860350255	0.032424176042963104	0.08284389988477306	0.03877755088156344	1.0	1.0
ENSG00000203588.3	1.7286096354376022	0.25137932387593753	0.9203160407886041	-0.03924382427221998	0.046329171808934255	0.08284389988477306	0.026827111130244254	1.0	1.0
ENSG00000224799.1	1.899839380010576	0.3471762277121445	0.9371318860046849	-0.03795064961166613	0.04373191622376593	0.08284389988477306	0.0035083004325707863	1.0	1.0
ENSG00000227486.1	1.3869850492876736	0.24436261021247385	0.9203160407886041	-0.03422183097658753	0.04316050299029894	0.08284389988477306	0.027112782713233197	1.0	1.0
ENSG00000270189.1	2.6103758712717586	1.0	1.0	-0.04039075719046664	0.011399015709218974	0.08284389988477306	-0.0004918823286569447	1.0	1.0
ENSG00000232593.6	1.9465366705979756	0.30973674777645277	0.9238607699518385	-0.03901951192577623	0.042845853267953316	0.08284389988477306	0.0017301166329974625	1.0	1.0
ENSG00000226530.1	1.8852207909889265	0.17837883228228835	0.9203160407886041	-0.038116767569384424	0.03156745180544207	0.08284389988477306	0.018914675143941052	1.0	1.0
ENSG00000229151.1	1.5770202978613115	0.08736993277568195	0.7787617908811073	-0.035567237001180814	0.052193638160627165	0.08284389988477306	0.03637585230487653	1.0	1.0
ENSG00000230317.1	1.4821613661163973	0.28722978350067985	0.9203160407886041	-0.044457896319203306	0.06958486726424284	0.08940832845124243	0.04957401565391114	1.0	1.0
ENSG00000279528.1	2.5172051485830695	1.0	1.0	-0.03857470248914679	0.05376986501806247	0.08284389988477306	-0.003995047835025651	1.0	1.0
ENSG00000228343.1	2.862852742655031	1.0	1.0	-0.03790487446509556	0.061163993311440956	0.08443741116887644	-0.008836028277576237	1.0	1.0
ENSG00000267064.1	1.8070603691324452	0.4258537497838141	1.0	-0.039660953745800163	0.048799645896553945	0.08284389988477306	0.01916868237641613	1.0	1.0
ENSG00000229563.6	1.7541013887540622	0.2626894780691562	0.9203160407886041	-0.04425855230884358	0.2410990317798022	0.2505468931113296	0.05078233738610288	1.0	1.0
ENSG00000269941.1	2.287162846102332	1.0	1.0	-0.04353358939987421	0.026283019900295024	0.08284389988477306	0.0046811388555641825	0.061623981920083004	0.32255410477771684
ENSG00000234636.2	2.456738142782465	1.0	1.0	-0.042136363752964576	0.05817822959265939	0.08332120847057824	-0.0031109843813301673	1.0	1.0
ENSG00000238123.1	2.051454885888355	0.26006968768906913	0.9203160407886041	-0.04126921705200074	0.07336829205728024	0.09230243068243098	0.026195175719338975	1.0	1.0
ENSG00000233928.5	2.3514196232456226	0.07633651050922996	0.7398661291645701	-0.04160614038352979	0.011777593889298776	0.08284389988477306	-0.00041230490549493327	0.7542086919428745	1.0
ENSG00000237994.1	1.910435266603509	0.25808232688244503	0.9203160407886041	-0.03663936824608317	0.03313954357290039	0.08284389988477306	0.008529034931246631	1.0	1.0
