	int__beta	int__p	int__padj	Subject.death__beta	Subject.death__p	Subject.death__padj	counts__beta	counts__p	counts__padj
ENSG00000270726.6_PAR_Y	2.387360694978677	1.0	1.0	-0.025781158138679424	0.18103235577337495	0.19031989332526242	-0.017589941528429832	0.37066021415647765	1.0
ENSG00000228786.5	1.294741703182464	0.19025002650508327	0.6689446623943698	-0.03613595891398647	0.03804170847995991	0.06875511184437887	0.021626431672125655	1.0	1.0
ENSG00000244231.1	2.680579615085437	1.0	1.0	-0.041961486835700335	0.051017278523034504	0.06875511184437887	-0.005619985654806838	1.0	1.0
ENSG00000229236.1	1.8788335977413069	0.07971795617284849	0.6689446623943698	-0.03570549042266214	0.012981316824208111	0.06875511184437887	0.008633196485384183	1.0	1.0
ENSG00000260197.1	3.0931992234848984	1.0	1.0	-0.03793974247437142	0.046234395998563604	0.06875511184437887	-0.00929683477724732	1.0	1.0
ENSG00000176728.7	2.631640428707584	0.13959818671453683	0.6689446623943698	-0.04330380917478708	0.022907726698468966	0.06875511184437887	-0.0011825102295484685	0.36294455580347973	1.0
ENSG00000251510.1	3.4204741869014037	1.0	1.0	-0.04393706967992301	0.04343025690972846	0.06875511184437887	-0.008538399608098643	1.0	1.0
ENSG00000230663.1	3.480514743564157	1.0	1.0	-0.04779946425424605	0.06204111118063238	0.07494730235835532	-0.017907065076518812	1.0	1.0
ENSG00000278847.1	2.308809965509751	1.0	1.0	-0.042121045518305915	0.025570007623313407	0.06875511184437887	0.0034244645835669833	0.3241401254430517	1.0
ENSG00000226179.6_PAR_Y	2.4247485749320887	1.0	1.0	-0.03580932479841117	0.05802256527632488	0.07434141176029124	-0.0041673011973219825	1.0	1.0
ENSG00000270726.6	2.3871819718452993	1.0	1.0	-0.025776960555793718	0.18103599608988374	0.19031989332526242	-0.017594172155102932	0.37115446655474926	1.0
ENSG00000224533.4	1.182958158411189	1.0	1.0	-0.04200311078345465	0.05198557237014012	0.06875511184437887	0.021850250741155583	0.13866746048175882	0.8121951256788731
