subject_name,sample_name
C_0002_BA9_mRNASeq,C_0002_BA9_mRNASeq__R1
C_0002_BA9_mRNASeq,C_0002_BA9_mRNASeq__R2
C_0003_BA9_mRNASeq,C_0003_BA9_mRNASeq__R1
C_0003_BA9_mRNASeq,C_0003_BA9_mRNASeq__R2
C_0004_BA9_mRNASeq,C_0004_BA9_mRNASeq__R1
C_0004_BA9_mRNASeq,C_0004_BA9_mRNASeq__R2
C_0005_BA9_mRNASeq,C_0005_BA9_mRNASeq__R1
C_0005_BA9_mRNASeq,C_0005_BA9_mRNASeq__R2
C_0006_BA9_mRNASeq,C_0006_BA9_mRNASeq__R1
C_0006_BA9_mRNASeq,C_0006_BA9_mRNASeq__R2
C_0008_BA9_mRNASeq,C_0008_BA9_mRNASeq__R1
C_0008_BA9_mRNASeq,C_0008_BA9_mRNASeq__R2
C_0009_BA9_mRNASeq,C_0009_BA9_mRNASeq__R1
C_0009_BA9_mRNASeq,C_0009_BA9_mRNASeq__R2
C_0010_BA9_mRNASeq,C_0010_BA9_mRNASeq__R1
C_0010_BA9_mRNASeq,C_0010_BA9_mRNASeq__R2
C_0011_BA9_mRNASeq,C_0011_BA9_mRNASeq__R1
C_0011_BA9_mRNASeq,C_0011_BA9_mRNASeq__R2
C_0012_BA9_mRNASeq,C_0012_BA9_mRNASeq__R1
C_0012_BA9_mRNASeq,C_0012_BA9_mRNASeq__R2
C_0013_BA9_mRNASeq,C_0013_BA9_mRNASeq__R1
C_0013_BA9_mRNASeq,C_0013_BA9_mRNASeq__R2
C_0014_BA9_mRNASeq,C_0014_BA9_mRNASeq__R1
C_0014_BA9_mRNASeq,C_0014_BA9_mRNASeq__R2
C_0014_BA9_mRNASeq_REPEAT,C_0014_BA9_mRNASeq_REPEAT__R1
C_0014_BA9_mRNASeq_REPEAT,C_0014_BA9_mRNASeq_REPEAT__R2
C_0015_BA9_mRNASeq,C_0015_BA9_mRNASeq__R1
C_0015_BA9_mRNASeq,C_0015_BA9_mRNASeq__R2
C_0016_BA9_mRNASeq,C_0016_BA9_mRNASeq__R1
C_0016_BA9_mRNASeq,C_0016_BA9_mRNASeq__R2
C_0017_BA9_mRNASeq,C_0017_BA9_mRNASeq__R1
C_0017_BA9_mRNASeq,C_0017_BA9_mRNASeq__R2
C_0018_BA9_mRNASeq,C_0018_BA9_mRNASeq__R1
C_0018_BA9_mRNASeq,C_0018_BA9_mRNASeq__R2
C_0018_BA9_mRNASeq_REPEAT,C_0018_BA9_mRNASeq_REPEAT__R1
C_0018_BA9_mRNASeq_REPEAT,C_0018_BA9_mRNASeq_REPEAT__R2
C_0019_BA9_mRNASeq,C_0019_BA9_mRNASeq__R1
C_0019_BA9_mRNASeq,C_0019_BA9_mRNASeq__R2
C_0020_BA9_mRNASeq,C_0020_BA9_mRNASeq__R1
C_0020_BA9_mRNASeq,C_0020_BA9_mRNASeq__R2
C_0021_BA9_mRNASeq,C_0021_BA9_mRNASeq__R1
C_0021_BA9_mRNASeq,C_0021_BA9_mRNASeq__R2
C_0022_BA9_mRNASeq,C_0022_BA9_mRNASeq__R1
C_0022_BA9_mRNASeq,C_0022_BA9_mRNASeq__R2
C_0023_BA9_mRNASeq,C_0023_BA9_mRNASeq__R1
C_0023_BA9_mRNASeq,C_0023_BA9_mRNASeq__R2
C_0024_BA9_mRNASeq,C_0024_BA9_mRNASeq__R1
C_0024_BA9_mRNASeq,C_0024_BA9_mRNASeq__R2
C_0025_BA9_mRNASeq,C_0025_BA9_mRNASeq__R1
C_0025_BA9_mRNASeq,C_0025_BA9_mRNASeq__R2
C_0026_BA9_mRNASeq,C_0026_BA9_mRNASeq__R1
C_0026_BA9_mRNASeq,C_0026_BA9_mRNASeq__R2
C_0029_BA9_mRNASeq,C_0029_BA9_mRNASeq__R1
C_0029_BA9_mRNASeq,C_0029_BA9_mRNASeq__R2
C_0029_BA9_mRNASeq_REPEAT,C_0029_BA9_mRNASeq_REPEAT__R1
C_0029_BA9_mRNASeq_REPEAT,C_0029_BA9_mRNASeq_REPEAT__R2
C_0031_BA9_mRNASeq,C_0031_BA9_mRNASeq__R1
C_0031_BA9_mRNASeq,C_0031_BA9_mRNASeq__R2
C_0032_BA9_mRNASeq,C_0032_BA9_mRNASeq__R1
C_0032_BA9_mRNASeq,C_0032_BA9_mRNASeq__R2
C_0033_BA9_mRNASeq,C_0033_BA9_mRNASeq__R1
C_0033_BA9_mRNASeq,C_0033_BA9_mRNASeq__R2
C_0034_BA9_mRNASeq,C_0034_BA9_mRNASeq__R1
C_0034_BA9_mRNASeq,C_0034_BA9_mRNASeq__R2
C_0035_BA9_mRNASeq,C_0035_BA9_mRNASeq__R1
C_0035_BA9_mRNASeq,C_0035_BA9_mRNASeq__R2
C_0036_BA9_mRNASeq,C_0036_BA9_mRNASeq__R1
C_0036_BA9_mRNASeq,C_0036_BA9_mRNASeq__R2
C_0037_BA9_mRNASeq,C_0037_BA9_mRNASeq__R1
C_0037_BA9_mRNASeq,C_0037_BA9_mRNASeq__R2
C_0038_BA9_mRNASeq,C_0038_BA9_mRNASeq__R1
C_0038_BA9_mRNASeq,C_0038_BA9_mRNASeq__R2
C_0039_BA9_mRNASeq,C_0039_BA9_mRNASeq__R1
C_0039_BA9_mRNASeq,C_0039_BA9_mRNASeq__R2
C_0050_BA9_mRNASeq,C_0050_BA9_mRNASeq__R1
C_0050_BA9_mRNASeq,C_0050_BA9_mRNASeq__R2
C_0053_BA9_mRNASeq,C_0053_BA9_mRNASeq__R1
C_0053_BA9_mRNASeq,C_0053_BA9_mRNASeq__R2
C_0054_BA9_mRNASeq,C_0054_BA9_mRNASeq__R1
C_0054_BA9_mRNASeq,C_0054_BA9_mRNASeq__R2
C_0060_BA9_mRNASeq,C_0060_BA9_mRNASeq__R1
C_0060_BA9_mRNASeq,C_0060_BA9_mRNASeq__R2
C_0061_BA9_mRNASeq,C_0061_BA9_mRNASeq__R1
C_0061_BA9_mRNASeq,C_0061_BA9_mRNASeq__R2
C_0062_BA9_mRNASeq,C_0062_BA9_mRNASeq__R1
C_0062_BA9_mRNASeq,C_0062_BA9_mRNASeq__R2
C_0065_BA9_mRNASeq,C_0065_BA9_mRNASeq__R1
C_0065_BA9_mRNASeq,C_0065_BA9_mRNASeq__R2
C_0069_BA9_mRNASeq,C_0069_BA9_mRNASeq__R1
C_0069_BA9_mRNASeq,C_0069_BA9_mRNASeq__R2
C_0070_BA9_mRNASeq,C_0070_BA9_mRNASeq__R1
C_0070_BA9_mRNASeq,C_0070_BA9_mRNASeq__R2
C_0071_BA9_mRNASeq,C_0071_BA9_mRNASeq__R1
C_0071_BA9_mRNASeq,C_0071_BA9_mRNASeq__R2
C_0074_BA9_mRNASeq,C_0074_BA9_mRNASeq__R1
C_0074_BA9_mRNASeq,C_0074_BA9_mRNASeq__R2
C_0075_BA9_mRNASeq,C_0075_BA9_mRNASeq__R1
C_0075_BA9_mRNASeq,C_0075_BA9_mRNASeq__R2
C_0076_BA9_mRNASeq,C_0076_BA9_mRNASeq__R1
C_0076_BA9_mRNASeq,C_0076_BA9_mRNASeq__R2
C_0077_BA9_mRNASeq,C_0077_BA9_mRNASeq__R1
C_0077_BA9_mRNASeq,C_0077_BA9_mRNASeq__R2
C_0081_BA9_mRNASeq,C_0081_BA9_mRNASeq__R1
C_0081_BA9_mRNASeq,C_0081_BA9_mRNASeq__R2
C_0082_BA9_mRNASeq,C_0082_BA9_mRNASeq__R1
C_0082_BA9_mRNASeq,C_0082_BA9_mRNASeq__R2
C_0083_BA9_mRNASeq,C_0083_BA9_mRNASeq__R1
C_0083_BA9_mRNASeq,C_0083_BA9_mRNASeq__R2
C_0087_BA9_mRNASeq,C_0087_BA9_mRNASeq__R1
C_0087_BA9_mRNASeq,C_0087_BA9_mRNASeq__R2
C_0103_BA9_mRNASeq,C_0103_BA9_mRNASeq__R1
C_0103_BA9_mRNASeq,C_0103_BA9_mRNASeq__R2
C_0106_BA9_mRNASeq,C_0106_BA9_mRNASeq__R1
