"id_with_url","name","species","feature_type","description"
"ENSG00000146109","ABT1","Human","Gene","activator of basal transcription 1 [Source:HGNC Symbol;Acc:HGNC:17369]  GO:0000447 (GO record; description: endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA),) is an external reference matched to Translation ENSP00000274849"
"ENSG00000087269","NOP14","Human","Gene","NOP14 nucleolar protein [Source:HGNC Symbol;Acc:HGNC:16821]  R-HSA-6791226 (Reactome gene record; description: Major pathway of rRNA processing in the nucleolus and cytosol,) is an external reference matched to Gene ENSG00000087269"
"ENSG00000120800","UTP20","Human","Gene","UTP20, small subunit processome component [Source:HGNC Symbol;Acc:HGNC:17897]  R-HSA-6791226 (Reactome gene record; description: Major pathway of rRNA processing in the nucleolus and cytosol,) is an external reference matched to Gene ENSG00000120800"
"ENSG00000119616","FCF1","Human","Gene","FCF1 rRNA-processing protein [Source:HGNC Symbol;Acc:HGNC:20220]  R-HSA-6791226 (Reactome gene record; description: Major pathway of rRNA processing in the nucleolus and cytosol,) is an external reference matched to Gene ENSG00000119616"
"ENSG00000278619","MRM1","Human","Gene","mitochondrial rRNA methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:26202]  R-HSA-72312 (Reactome gene record; description: rRNA processing,) is an external reference matched to Gene ENSG00000278619"
"ENSG00000122687","MRM2","Human","Gene","mitochondrial rRNA methyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:16352]  R-HSA-72312 (Reactome gene record; description: rRNA processing,) is an external reference matched to Gene ENSG00000122687"
"ENSG00000171861","MRM3","Human","Gene","mitochondrial rRNA methyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:18485]  R-HSA-72312 (Reactome gene record; description: rRNA processing,) is an external reference matched to Gene ENSG00000171861"
"ENSG00000132467","UTP3","Human","Gene","UTP3, small subunit processome component homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:24477]  R-HSA-6791226 (Reactome gene record; description: Major pathway of rRNA processing in the nucleolus and cytosol,) is an external reference matched to Gene ENSG00000132467"
"ENSG00000158526","TSR2","Human","Gene","TSR2, ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:25455]  TSR2, 20S rRNA ACCUMULATION, S. CEREVISIAE, HOMOLOG OF; TSR2 [*300945] (MIM gene record; description: TSR2, 20S rRNA ACCUMULATION, S. CEREVISIAE, HOMOLOG OF; TSR2;;WGG MOTIF-CONTAINING PROTEIN 1; WGG1,) is an external reference matched to Gene ENSG00000158526"
"ENSG00000179041","RRS1","Human","Gene","ribosome biogenesis regulator homolog [Source:HGNC Symbol;Acc:HGNC:17083]  GO:0000447 (GO record; description: endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA),) is an external reference matched to Translation ENSP00000322396"
