ID	Gene Name	Species	GOTERM_CC_DIRECT
ENSG00000169692	1-acylglycerol-3-phosphate O-acyltransferase 2(AGPAT2)	Homo sapiens	GO:0005783~endoplasmic reticulum,GO:0005789~endoplasmic reticulum membrane,GO:0016021~integral component of membrane,
ENSG00000026652	1-acylglycerol-3-phosphate O-acyltransferase 4(AGPAT4)	Homo sapiens	GO:0005789~endoplasmic reticulum membrane,GO:0016021~integral component of membrane,
ENSG00000155189	1-acylglycerol-3-phosphate O-acyltransferase 5(AGPAT5)	Homo sapiens	GO:0005635~nuclear envelope,GO:0005739~mitochondrion,GO:0005741~mitochondrial outer membrane,GO:0005789~endoplasmic reticulum membrane,GO:0016021~integral component of membrane,
ENSG00000173786	2',3'-cyclic nucleotide 3' phosphodiesterase(CNP)	Homo sapiens	GO:0005615~extracellular space,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005741~mitochondrial outer membrane,GO:0005743~mitochondrial inner membrane,GO:0005874~microtubule,GO:0005886~plasma membrane,GO:0005902~microvillus,GO:0016020~membrane,GO:0031143~pseudopodium,GO:0035748~myelin sheath abaxonal region,GO:0035749~myelin sheath adaxonal region,GO:0042470~melanosome,GO:0048471~perinuclear region of cytoplasm,GO:0070062~extracellular exosome,
ENSG00000112667	2'-deoxynucleoside 5'-phosphate N-hydrolase 1(DNPH1)	Homo sapiens	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0070062~extracellular exosome,
ENSG00000104325	2,4-dienoyl-CoA reductase 1, mitochondrial(DECR1)	Homo sapiens	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005739~mitochondrion,GO:0005759~mitochondrial matrix,GO:0070062~extracellular exosome,
ENSG00000242612	2,4-dienoyl-CoA reductase 2, peroxisomal(DECR2)	Homo sapiens	GO:0005778~peroxisomal membrane,
ENSG00000181915	2-aminoethanethiol dioxygenase(ADO)	Homo sapiens	GO:0005739~mitochondrion,GO:0005829~cytosol,
ENSG00000131373	2-hydroxyacyl-CoA lyase 1(HACL1)	Homo sapiens	GO:0005777~peroxisome,GO:0005782~peroxisomal matrix,
ENSG00000087263	2-oxoglutarate and iron dependent oxygenase domain containing 1(OGFOD1)	Homo sapiens	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0010494~cytoplasmic stress granule,
ENSG00000181396	2-oxoglutarate and iron dependent oxygenase domain containing 3(OGFOD3)	Homo sapiens	GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0070062~extracellular exosome,
ENSG00000155893	2-phosphoxylose phosphatase 1(PXYLP1)	Homo sapiens	GO:0000139~Golgi membrane,GO:0005794~Golgi apparatus,GO:0016021~integral component of membrane,
ENSG00000116133	24-dehydrocholesterol reductase(DHCR24)	Homo sapiens	GO:0000139~Golgi membrane,GO:0005634~nucleus,GO:0005783~endoplasmic reticulum,GO:0005789~endoplasmic reticulum membrane,GO:0005829~cytosol,GO:0005856~cytoskeleton,GO:0016020~membrane,GO:0016021~integral component of membrane,
ENSG00000162813	3'(2'), 5'-bisphosphate nucleotidase 1(BPNT1)	Homo sapiens	GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0070062~extracellular exosome,
ENSG00000113161	3-hydroxy-3-methylglutaryl-CoA reductase(HMGCR)	Homo sapiens	GO:0005778~peroxisomal membrane,GO:0005783~endoplasmic reticulum,GO:0005789~endoplasmic reticulum membrane,GO:0016021~integral component of membrane,
ENSG00000112972	3-hydroxy-3-methylglutaryl-CoA synthase 1(HMGCS1)	Homo sapiens	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0005886~plasma membrane,
